,0,1,2
0,1,Simon and Garfunkel,Bridge Over Troubled Water
1,2,Carpenters,(They Long To Be) Close To You
2,3,Guess Who,American Woman / No Sugar Tonight
3,4,B.J. Thomas,Raindrops Keep Fallin’ On My Head
4,5,Edwin Starr,War
5,6,Diana Ross,Ain’t No Mountain High Enough
6,7,Jackson 5,I’ll Be There
7,8,Rare Earth,Get Ready
8,9,Beatles,Let It Be
9,10,Freda Payne,Band Of Gold
10,11,Three Dog Night,Mama Told Me (Not To Come)
11,12,Ray Stevens,Everything Is Beautiful
12,13,Bread,Make It With You
13,14,Vanity Fair,Hitchin’ A Ride
14,15,Jackson 5,ABC
15,16,Jackson 5,The Love You Save / I Found That Girl
16,17,Neil Diamond,Cracklin’ Rose
17,18,Dawn,Candida
18,19,Sly and The Family Stone,Thank You (Fallettin Me Be Mice Elf Again) / Everybody Is A Star
19,20,Eric Burdon and War,Spill The Wine
20,21,Five Stairsteps and Cubie,O-o-h Child / Dear Prudence
21,22,Norman Greenbaum,Spirit In The Sky
22,23,Melanie and The Edwin Hawkins Singers,Lay Down (Candles In The Rain)
23,24,Temptations,Ball Of Confusion (That’s What The World Is Today)
24,25,Moments,Love On A Two Way Street
25,26,Poppy Family,Which Way You Goin’ Billy?
26,27,Free,All Right Now
27,28,Jackson 5,I Want You Back
28,29,Bobby Sherman,"Julie, Do Ya Love Me"
29,30,Sugarloaf,Green-eyed Lady
30,31,Stevie Wonder,"Signed Sealed, Delivered (I’m Yours)"
31,32,Blues Image,Ride Captain Ride
32,33,Shocking Blue,Venus
33,34,John Ono Lennon,Instant Karma (We All Shine On)
34,35,Clarence Carter,Patches
35,36,Creedence Clearwater Revival,Lookin’ Out My Back Door / Long As I Can See The Light
36,37,Brook Benton,Rainy Night In Georgia
37,38,Kenny Rogers and The First Edition,Something’s Burning
38,39,Chairmen Of The Board,Give Me Just A Little More Time
39,40,Edison Lighthouse,Love Grows (Where My Rosemary Goes)
40,41,Beatles,The Long And Winding Road / For You Blue
41,42,Anne Murray,Snowbird
42,43,Marmalade,Reflections Of My Life
43,44,Eddie Holman,Hey There Lonely Girl
44,45,Jaggerz,The Rapper
45,46,Hollies,"He Ain’t Heavy, He’s My Brother"
46,47,Alive and Kicking,"Tighter, Tighter"
47,48,Badfinger,Come And Get It
48,49,Simon and Garfunkel,Cecelia
49,50,Charles Wright and The Watts 103rd Street Rhythm Band,Love Land
50,51,Tyrone Davis,Turn Back The Hands Of Time
51,52,Kinks,Lola
52,53,Mungo Jerry,In The Summertime
53,54,R. Dean Taylor,Indiana Wants Me
54,55,Rare Earth,(I Know) I’m Losing You
55,56,Bobby Sherman,"Easy Come, Easy Go"
56,57,Charles Wright and The Watts 103rd Street Rhythm Band,Express Yourself
57,58,Four Tops,Still Water (Love)
58,59,Chicago,Make Me Smile
59,60,Frijid Pink,House Of The Rising Sun
60,61,Chicago,25 Or 6 To 4
61,62,White Plains,My Baby Loves Lovin’
62,63,Friends Of Distinction,Love Or Let Me Be Lonely
63,64,Brotherhood Of Man,United We Stand
64,65,Carpenters,We’ve Only Just Begun
65,66,Mark Lindsay,Arizona
66,67,James Taylor,Fire And Rain
67,68,Gene Chandler,Groovy Situation
68,69,Santana,Evil Ways
69,70,Guess Who,No Time
70,71,Delfonics,Didn’t I (Blow Your Mind This Time)
71,72,Elvis Presley,The Wonder Of You / Mama Liked The Roses
72,73,Creedence Clearwater Revival,Up Around The Bend / Run Through The Jungle
73,74,Ronnie Dyson,(If You Let Me Make Love To You Then) Why Can’t I Touch You
74,75,B.J. Thomas,I Just Can’t Help Believing
75,76,Spinners,It’s A Shame
76,77,Bobbi Martin,For The Love Of Him
77,78,Mountain,Mississippi Queen
78,79,Ike and Tina Turner,I Want To Take You Higher
79,80,Joe Cocker,The Letter
80,81,Tee Set,Ma Belle Amie
81,82,Originals,The Bells
82,83,Christie,Yellow River
83,84,100 Proof Aged In Soul,Somebody’s Been Sleeping
84,85,Ides Of March,Vehicle
85,86,Pipkins,Gimme Dat Ding
86,87,Robin Mcnamara,Lay A Little Lovin’ On Me
87,88,Supremes,Up The Ladder To The Roof
88,89,Creedence Clearwater Revival,Travelin’ Band / Who’ll Stop The Rain
89,90,Sandpipers,Come Saturday Morning
90,91,Temptations,Psychedelic Shack
91,92,Tom Jones,Without Love (There Is Nothing)
92,93,Pacific Gas and Electric,Are You Ready?
93,94,"Crosby, Stills, Nash and Young",Woodstock
94,95,Dionne Warwick,I’ll Never Fall In Love Again
95,96,New Seekers,Look What They’ve Done To My Song Ma
96,97,Joe South,Walk A Mile In My Shoes
97,98,B.B. King,The Thrill Is Gone
98,99,Glen Campbell,It’s Only Make Believe
99,100,Aretha Franklin,Call Me
