Rank,Artist,Song,Gender,Year
43,Stevie Wonder,Send One Your Love,Male,1980
44,Shalamar,The Second Time Around,Mixed Group,1980
45,Cliff Richard,We Don’t Talk Anymore,Male,1980
46,Brothers Johnson,Stomp,Male Group,1980
47,Eagles,Heartache Tonight,Male Group,1980
48,Rocky Burnette,Tired Of Toein’ The Line,Male,1980
49,Dr. Hook,Better Love Next Time,Male,1980
50,Rupert Holmes,Him,Male,1980
51,Bob Seger and The Silver Bullet Band,Against The Wind,Male,1980
52,Donna Summer,On The Radio,Female,1980
53,Rolling Stones,Emotional Rescue,Male Group,1980
54,Herb Alpert,Rise,Male,1980
55,Air Supply,All Out Of Love,Male Group,1980
56,Little River Band,Cool Change,Male Group,1980
57,J.D. Souther,You’re Only Lonely,Male,1980
58,Andy Gibb,Desire,Male,1980
59,Pete Townshend,Let My Love Open The Door,Male,1980
60,Steve Forbert,Romeo’s Tune,Male,1980
61,Anne Murray,Daydream Believer,Female,1980
62,Eagles,I Can’t Tell You Why,Male Group,1980
63,Isaac Hayes,Don’t Let Go,Male,1980
64,Tom Petty and The Heartbreakers,Don’t Do Me Like That,Male,1980
65,Michael Jackson,She’s Out Of My Life,Male,1980
66,Irene Cara,Fame,Female,1980
67,Bob Seger and The Silver Bullet Band,Fire Lake,Male,1980
68,Linda Ronstadt,How Do I Make You,Female,1980
69,Benny Mardones,Into The Night,Male,1980
70,Pure Prairie League,Let Me Love You Tonight,Male Group,1980
71,Genesis,Misunderstanding,Male Group,1980
72,Dirt Band,An American Dream,Male Group,1980
73,Carole King,One Fine Day,Female,1980
74,Donna Summer,Dim All The Lights,Female,1980
75,Billy Joel,You May Be Right,Male,1980
76,Neil Sedaka and Dara Sedaka,Should’ve Never Let You Go,Mixed Group,1980
77,Charlie Dore,Pilot Of The Airwaves,Male,1980
78,Linda Ronstadt,Hurt So Bad,Female,1980
79,Michael Jackson,Off The Wall,Male,1980
80,Peaches and Herb,I Pledge My Love,Mixed Group,1980
81,Eagles,The Long Run,Male Group,1980
82,Mickey Gilley,Stand By Me,Male,1980
83,Pat Benatar,Heartbreaker,Male,1980
84,Dionne Warwick,Deja Vu,Female,1980
85,Eddie Rabbitt,Drivin’ My Life Away,Male,1980
86,Supertramp,Take The Long Way Home,Male Group,1980
87,Fleetwood Mac,Sara,Male Group,1980
88,Daryl Hall and John Oates,Wait For Me,Male,1980
89,Boz Scaggs,Jo Jo,Male,1980
90,Neil Diamond,September Morn,Male,1980
91,George Benson,Give Me The Night,Male,1980
92,Anne Murray,Broken Hearted Me,Female,1980
93,Kenny Rogers,You Decorated My Life,Male,1980
94,Fleetwood Mac,Tusk,Male Group,1980
95,Prince,I Wanna Be Your Lover,Male,1980
96,Charlie Daniels Band,In America,Male Group,1980
97,Boz Scaggs,Breakdown Dead Ahead,Male,1980
98,Barry Manilow,Ships,Male,1980
99,Joe Walsh,All Night Long,Male,1980
100,Tom Petty and The Heartbreakers,Refugee,Male,1980
1,Wham!,Careless Whisper,Male Group,1985
2,Madonna,Like A Virgin,Female,1985
3,Wham!,Wake Me Up Before You Go-Go,Male Group,1985
4,Foreigner,I Want To Know What Love Is,Male Group,1985
5,Chaka Khan,I Feel For You,Female,1985
6,Daryl Hall and John Oates,Out Of Touch,Male Group,1985
7,Tears For Fears,Everybody Wants To Rule The World,Male Group,1985
8,Dire Straits,Money For Nothing,Male Group,1985
9,Madonna,Crazy For You,Female,1985
10,A-Ha,Take On Me,Male Group,1985
11,Paul Young,Everytime You Go Away,Male,1985
12,Phil Collins and Philip Bailey,Easy Lover,Male Group,1985
13,REO Speedwagon,Can’t Fight This Feeling,Male Group,1985
14,Starship,We Built This City,Mixed Group,1985
15,Huey Lewis and The News,The Power Of Love,Male Group,1985
16,Simple Minds,Don’t You (Forget About Me),Male Group,1985
17,Kool and The Gang,Cherish,Male Group,1985
18,John Parr,St. Elmo’s Fire (Man In Motion),Male,1985
19,Glenn Frey,The Heat Is On,Male,1985
20,U.S.A. For Africa,We Are The World,Mixed Group,1985
21,Tears For Fears,Shout,Male Group,1985
22,Stevie Wonder,Part-Time Lover,Male,1985
23,Whitney Houston,Saving All My Love For You,Female,1985
24,Bryan Adams,Heaven,Male,1985
25,Wham!,Everything She Wants,Male Group,1985
26,New Edition,Cool It Now,Male Group,1985
27,Jan Hammer,Miami Vice Theme,Male,1985
28,Billy Ocean,Lover Boy,Male,1985
29,Teena Marie,Lover Girl,Female,1985
30,Glenn Frey,You Belong To The City,Male,1985
31,Ready For The World,Oh Sheila,Male Group,1985
32,Debarge,Rhythm Of The Night,Mixed Group,1985
33,Phil Collins,One More Night,Male,1985
34,Honeydrippers,Sea Of Love,Male Group,1985
35,Duran Duran,A View To A Kill,Male Group,1985
36,Duran Duran,The Wild Boys,Male Group,1985
37,Chicago,You’re The Inspiration,Male Group,1985
38,Pointer Sisters,Neutron Dance,Female Group,1985
39,Pat Benatar,We Belong,Female,1985
40,Commodores,Nightshift,Male Group,1985
41,Howard Jones,Things Can Only Get Better,Male,1985
42,Jack Wagner,All I Need,Male,1985
43,Aretha Franklin,Freeway Of Love,Female,1985
44,Corey Hart,Never Surrender,Male,1985
45,Phil Collins,Sussudio,Male,1985
46,Sheena Easton,Strut,Female,1985
47,Whitney Houston,You Give Good Love,Female,1985
48,Survivor,The Search Is Over,Male Group,1985
49,Diana Ross,Missing You,Female,1985
50,Phil Collins and Marilyn Martin,Separate Lives,Mixed Group,1985
51,Prince and The Revolution,Raspberry Beret,Male,1985
52,Billy Ocean,Suddenly,Male,1985
53,Don Henley,The Boys Of Summer,Male,1985
54,Murray Head,One Night In Bangkok,Male,1985
55,Sting,If You Love Somebody Set Them Free,Male,1985
56,Animotion,Obsession,Mixed Group,1985
57,Tina Turner,We Don’t Need Another Hero,Female,1985
58,Madonna,Material Girl,Female,1985
59,Tina Turner,Better Be Good To Me,Female,1985
60,Tears For Fears,Head Over Heels,Male Group,1985
61,Harold Faltermeyer,Axel F,Male,1985
62,Sade,Smooth Operator,Female,1985
63,Mary Jane Girls,In My House,Female Group,1985
64,Phil Collins,Don’t Lose My Number,Male,1985
65,Cyndi Lauper,All Through The Night,Female,1985
66,Bryan Adams,Run To You,Male,1985
67,Bruce Springsteen,Glory Days,Male,1985
68,‘Til Tuesday,Voices Carry,Mixed Group,1985
69,Kool and The Gang,Misled,Male Group,1985
70,Eurythmics,Would I Lie To You?,Mixed Group,1985
71,ABC,Be Near Me,Male Group,1985
72,Paul McCartney,No More Lonely Nights,Male,1985
73,Survivor,I Can’t Hold Back,Male Group,1985
74,Bryan Adams,Summer Of ’69,Male,1985
75,Katrina and The Waves,Walking On Sunshine,Mixed Group,1985
76,Wham!,Freedom,Male Group,1985
77,Julian Lennon,Too Late For Goodbyes,Male,1985
78,Julian Lennon,Valotte,Male,1985
79,Power Station,Some Like It Hot,Male Group,1985
80,Ashford and Simpson,Solid,Mixed Group,1985
81,Madonna,Angel,Female,1985
82,Bruce Springsteen,I’m On Fire,Male,1985
83,Daryl Hall and John Oates,Method Op Modern Love,Male Group,1985
84,Thompson Twins,Lay Your Hands On Me,Mixed Group,1985
85,Debarge,Who’s Holding Donna Now,Mixed Group,1985
86,John Cougar Mellencamp,Lonely Ol’ Night,Male,1985
87,Heart,What About Love,Mixed Group,1985
88,David Lee Roth,California Girls,Male,1985
89,Kool and The Gang,Fresh,Male Group,1985
90,Jermaine Jackson,Do What You Do,Male,1985
91,The Time,Jungle Of Love,Male Group,1985
92,Bruce Springsteen,Born In The USA,Male,1985
93,Tina Turner,Private Dancer,Female,1985
94,Aretha Franklin,Who’s Zoomin’ Who,Female,1985
95,Sting,Fortress Around Your Heart,Male,1985
96,Lionel Richie,Penny Lover,Male,1985
97,Don Henley,All She Wants To Do Is Dance,Male,1985
98,Madonna,Dress You Up,Female,1985
99,Night Ranger,Sentimental Street,Male Group,1985
100,Sheena Easton,Sugar Walls,Female,1985
1,Wilson Phillips,Hold On,Female Group,1990
2,Roxette,It Must Have Been Love,Female,1990
3,Sinead O’Connor,Nothing Compares 2 U,Female,1990
4,Bell Biv Devoe,Poison,Male Group,1990
5,Madonna,Vogue,Female,1990
6,Mariah Carey,Vision Of Love,Female,1990
7,Phil Collins,Another Day In Paradise,Male,1990
8,En Vogue,Hold On,Female Group,1990
9,Billy Idol,Cradle Of Love,Male,1990
10,Jon Bon Jovi,Blaze Of Glory,Male,1990
11,Bell Biv Devoe,Do Me!,Male Group,1990
12,Michael Bolton,How Am I Supposed To Live Without You,Male,1990
13,Technotronic,Pump Up The Jam,Mixed Group,1990
14,Paula Abdul,Opposites Attract,Female,1990
15,Janet Jackson,Escapade,Female,1990
16,Heart,All I Wanna Do Is Make Love To You,Female Group,1990
17,Maxi Priest,Close To You,Male,1990
18,Alannah Myles,Black Velvet,Female,1990
19,Wilson Phillips,Release Me,Male,1990
20,Linda Ronstadt and Aaron Neville,Don’t Know Much,Mixed Group,1990
21,Lisa Stansfield,All Around The World,Female,1990
22,Calloway,I Wanna Be Rich,Male Group,1990
23,Johnny Gill,Rub You The Right Way,Male,1990
24,Glenn Medeiros feat. Bobby Brown,She Ain’t Worth It,Male,1990
25,Sweet Sensation,If Wishes Came True,Female Group,1990
26,Snap,The Power,Mixed Group,1990
27,Nelson,(Can’t Live Without Your) Love And Affection,Male Group,1990
28,Taylor Dayne,Love Will Lead You Back,Female,1990
29,Jane Child,Don’t Wanna Fall In Love,Female,1990
30,Seduction,Two To Make It Right,Female Group,1990
31,Linear,Sending All My Love,Male Group,1990
32,Poison,Unskinny Bop,Male Group,1990
33,New Kids On The Block,Step By Step,Male Group,1990
34,Roxette,Dangerous,Female,1990
35,Billy Joel,We Didn’t Start The Fire,Male,1990
36,James Ingram,I Don’t Have The Heart,Male,1990
37,Rod Stewart,Downtown Train,Male,1990
38,Janet Jackson,Rhythm Nation,Female,1990
39,Tommy Page,I’ll Be Your Everything,Male,1990
40,B-52’s,Roam,Mixed Group,1990
41,Jody Watley,Everything,Female,1990
42,Soul II Soul,Back To Life,Mixed Group,1990
43,Luther Vandross,Here And Now,Male,1990
44,Janet Jackson,Alright,Female,1990
45,Vanilla Ice,Ice Ice Baby,Male,1990
46,Milli Vanilli,Blame It On The Rain,Male Group,1990
47,M.C. Hammer,Have You Seen Her,Male,1990
48,Taylor Dayne,With Every Beat Of My Heart,Female,1990
49,Janet Jackson,Come Back To Me,Female,1990
50,Michel’le,No More Lies,Female,1990
51,George Michael,Praying For Time,Male,1990
52,Michael Bolton,How Can We Be Lovers,Male,1990
53,Phil Collins,Do You Remember,Male,1990
54,After 7,Ready Or Not,Male Group,1990
55,M.C. Hammer,U Can’t Touch This,Male,1990
56,Phil Collins,I Wish It Would Rain Down,Male,1990
57,Lou Gramm,Just Between You And Me,Male,1990
58,Phil Collins,Something Happened On The Way To Heaven,Male,1990
59,Janet Jackson,Black Cat,Female,1990
60,After 7,Can’t Stop,Male Group,1990
61,Aerosmith,Janie’s Got A Gun,Male Group,1990
62,Digital Underground,The Humpty Dance,Male Group,1990
63,Taylor Dayne,I’ll Be Your Shelter,Female,1990
64,Tom Petty,Free Fallin’,Male,1990
65,Pebbles,Giving You The Benefit,Female,1990
66,Depeche Mode,Enjoy The Silence,Male Group,1990
67,Tesla,Love Song,Male Group,1990
68,Bad English,Price Of Love,Male Group,1990
69,Tyler Collins,Girls Nite Out,Male,1990
70,Go West,King Of Wishful Thinking,Male Group,1990
71,Chicago,What Kind Of Man Would I Be?,Male Group,1990
72,Skid Row,I Remember You,Male Group,1990
73,Technotronic,Get Up! (Before The Night Is Over),Mixed Group,1990
74,Gloria Estefan,Here We Are,Female,1990
75,Faith No More,Epic,Male Group,1990
76,Mariah Carey,Love Takes Time,Female,1990
77,Cher,Just Like Jesse James,Female,1990
78,B-52s,Love Shack,Mixed Group,1990
79,Milli Vanilli,All Or Nothing,Male Group,1990
80,Dino,Romeo,Male,1990
81,Black Box,Everybody Everybody,Female,1990
82,Billy Joel,I Go To Extremes,Male,1990
83,Babyface,Whip Appeal,Male,1990
84,Paul Young,Oh Girl,Male,1990
85,D-Mob With Cathy Dennis,C’mon And Get My Love,Male,1990
86,Paula Abdul,(It’s Just) The Way That You Love Me,Female,1990
87,The Cover Girls,We Can’t Go Wrong,Female Group,1990
88,Michael Bolton,When I’m Back On My Feet Again,Male,1990
89,Keith Sweat,Make You Sweat,Male,1990
90,New Kids On The Block,This One’s For The Children,Male Group,1990
91,Aerosmith,What It Takes,Male Group,1990
92,Kiss,Forever,Male Group,1990
93,The Time,Jerk Out,Male Group,1990
94,Biz Markie,Just A Friend,Male,1990
95,A’me Lorain,Whole Wide World,Female,1990
96,Motley Crue,Without You,Male Group,1990
97,Jive Bunny and The Master Mixers,Swing The Mood,Male Group,1990
98,Prince,Thieves In The Temple,Male,1990
99,Mellow Man Ace,Mentirosa,Male,1990
100,Kyper,Tic-Tac-Toe,Male,1990
1,Coolio,Gangsta’s Paradise,Male,1995
2,TLC,Waterfalls,Female Group,1995
3,TLC,Creep,Female Group,1995
4,Seal,Kiss From A Rose,Male,1995
5,Boyz II Men,On Bended Knee,Male Group,1995
6,Real McCoy,Another Night,Mixed Group,1995
7,Mariah Carey,Fantasy,Female,1995
8,Madonna,Take A Bow,Female,1995
9,Monica,Don’t Take It Personal (Just One Of Dem Days),Female,1995
10,Montell Jordan,This Is How We Do It,Male,1995
11,Dionne Farris,I Know,Female,1995
12,Boyz II Men,Water Runs Dry,Male Group,1995
13,Adina Howard,Freak Like Me,Female,1995
14,Blues Traveler,Run-Around,Male Group,1995
15,All-4-One,I Can Love You Like That,Male Group,1995
16,Bryan Adams,Have You Ever Really Loved A Woman?,Male,1995
17,Bon Jovi,Always,Male,1995
18,Shaggy,Boombastic / In The Summertime,Male,1995
19,Nicki French,Total Eclipse Of The Heart,Female,1995
20,Des’ree,You Gotta Be,Female,1995
21,Michael Jackson,You Are Not Alone,Male,1995
22,Hootie and The Blowfish,Hold My Hand,Male Group,1995
23,Notorious B.I.G.,One More Chance-Stay With Me,Male,1995
24,Ini Kamoze,Here Comes The Hotstepper,Male,1995
25,Soul For Real,Candy Rain,Male Group,1995
26,Hootie and The Blowfish,Let Her Cry,Male Group,1995
27,Blessid Union Of Souls,I Believe,Male Group,1995
28,TLC,Red Light Special,Female Group,1995
29,Janet Jackson,Runaway,Female,1995
30,Sheryl Crow,Strong Enough,Female,1995
31,Vanessa Williams,Colors Of The Wind,Female,1995
32,Jon B.,Someone To Love,Male,1995
33,Hootie and The Blowfish,Only Wanna Be With You,Male Group,1995
34,Brownstone,If You Love Me,Female Group,1995
35,Martin Page,In The House Of Stone And Light,Male,1995
36,Luniz,I Got 5 On It,Male Group,1995
37,Brandy,Baby,Female,1995
38,Real McCoy,Run Away,Mixed Group,1995
39,Sophie B. Hawkins,As I Lay Me Down,Female,1995
40,Mokenstef,He’s Mine,Female Group,1995
41,Collective Soul,December,Male Group,1995
42,Method Man-Mary J. Blige,I’ll Be There For You-You’re All I Need To Get By,Mixed Group,1995
43,Diana King,Shy Guy,Female,1995
44,Melissa Etheridge,I’m The Only One,Female,1995
45,Soul For Real,Every Little Thing I Do,Male Group,1995
46,BLACKstreet,Before I Let You Go,Male Group,1995
47,Notorious B.I.G.,Big Poppa / Warning,Male,1995
48,4 P.M.,Sukiyaki,Male Group,1995
49,Brandy,I Wanna Be Down,Female,1995
50,Boyz II Men,I’ll Make Love To You,Male Group,1995
51,2Pac,Dear Mama / Old School,Male,1995
52,Jamie Walters,Hold On,Male,1995
53,Dr. Dre,Keep Their Heads Ringin’,Male,1995
54,Corona,The Rhythm Of The Night,Female,1995
55,Del Amitri,Roll To Me,Male Group,1995
56,Michael Jackson and Janet Jackson,Scream / Childhood,Mixed Group,1995
57,Jodeci,Freek’n You,Male Group,1995
58,Skee-lo,I Wish,Male,1995
59,Elton John,Believe,Male Group,1995
60,Natalie Merchant,Carnival,Female,1995
61,Tom Petty,You Don’t Know How It Feels,Male,1995
62,Take That,Back For Good,Male Group,1995
63,69 Boyz,Tootsee Roll,Male Group,1995
64,Janet Jackson,You Want This-70’s Love Groove,Female,1995
65,Groove Theory,Tell Me,Mixed Group,1995
66,Total,Can’t You See,Female Group,1995
67,Sheryl Crow,All I Wanna Do,Female,1995
68,Subway,This Lil’ Game We Play,Male Group,1995
69,Real McCoy,Come And Get Your Love,Mixed Group,1995
70,Bon Jovi,This Ain’t A Love Song,Male,1995
71,Madonna,Secret,Female,1995
72,Junior M.A.F.I.A.,Player’s Anthem,Mixed Group,1995
73,Naughty By Nature,Feel Me Flow,Male Group,1995
74,Jade,Every Day Of The Week,Female Group,1995
75,Vanessa Williams,The Sweetest Days,Female,1995
76,20 Fingers feat. Gillette,Short Dick Man,Female,1995
77,Brandy,Brokenhearted,Female,1995
78,Annie Lennox,No More “I Love You’s”,Female,1995
79,Faith Evans,You Used To Love Me,Mixed Group,1995
80,Immature,Constantly,Male Group,1995
81,U2,"Hold Me, Thrill Me, Kiss Me, Kill Me",Male Group,1995
82,Crystal Waters,100% Pure Love,Female,1995
83,Raphael Saadiq,Ask Of You,Male,1995
84,Az,Sugar Hill,Male,1995
85,Better Than Ezra,Good,Male Group,1995
86,D’angelo,Brown Sugar,Male,1995
87,Gloria Estefan,Turn The Beat Around,Female,1995
88,After 7,‘Til You Do Me Right,Male Group,1995
89,Bone Thugs-N-Harmony,1st Of Tha Month,Male Group,1995
90,Melissa Etheridge,Like The Way I Do-If I Wanted To,Female,1995
91,Firehouse,I Live My Life For You,Male Group,1995
92,Stevie B,Dream About You-Funky Melody,Male,1995
93,Rednex,Cotton Eye Joe,Mixed Group,1995
94,Boyz II Men,Thank You,Male Group,1995
95,Pretenders,I’ll Stand By You,Mixed Group,1995
96,N II U,I Miss You,Male Group,1995
97,Da Brat,Give It 2 You,Female,1995
98,Brandy,Best Friend,Female,1995
99,Soul Asylum,Misery,Male Group,1995
100,Van Halen,Can’t Stop Lovin’ You,Male Group,1995
1.0,Lifehouse,Hanging By A Moment,Male Group,2000
2.0,Alicia Keys,Fallin’,Female,2000
3.0,Janet,All For You,Female,2000
4.0,Train,Drops Of Jupiter (Tell Me),Male Group,2000
5.0,Jennifer Lopez feat. Ja Rule,I’m Real,Mixed Group,2000
6.0,matchbox twenty,If You’re Gone,Male Group,2000
7.0,Eve feat. Gwen Stefani,Let Me Blow Ya Mind,Female,2000
8.0,Dido,Thank You,Male,2000
9.0,Lenny Kravitz,Again,Male,2000
10.0,Destiny’s Child,Independent Women Part I,Female Group,2000
11.0,Blu Cantrell,Hit ‘Em Up Style (Oops!),Female,2000
12.0,Shaggy feat. Ricardo “RikRok” Ducent,It Wasn’t Me,Male,2000
13.0,Joe feat. Mystikal,Stutter,Male,2000
14.0,Staind,It’s Been Awhile,Male Group,2000
15.0,Usher,U Remind Me,Male,2000
16.0,Jagged Edge With Nelly,Where The Party At,Male,2000
17.0,Shaggy feat. Rayvon,Angel,Male,2000
18.0,Nelly feat. City Spud,Ride Wit Me,Male,2000
19.0,Uncle Kracker,Follow Me,Male,2000
20.0,112,Peaches & Cream,Male Group,2000
21.0,Incubus,Drive,Male Group,2000
22.0,City High,What Would You Do?,Mixed Group,2000
23.0,Destiny’s Child,Survivor,Female Group,2000
24.0,"Christina Aguilera, Lil’ Kim, Mya and Pink",Lady Marmalade,Female,2000
25.0,Outkast,Ms. Jackson,Male Group,2000
26.0,Jennifer Lopez,Love Don’t Cost A Thing,Female,2000
27.0,Faith Hill,The Way You Love Me,Female,2000
28.0,Dream,He Loves U Not,Male,2000
29.0,Crazy Town,Butterfly,Mixed Group,2000
30.0,Ja Rule feat. Lil’ Mo and Vita,Put It On Me,Mixed Group,2000
31.0,Mary J. Blige,Family Affair,Female,2000
32.0,Lee Ann Womack and Sons Of The Desert,I Hope You Dance,Mixed Group,2000
33.0,Moby feat. Gwen Stefani,South Side,Mixed Group,2000
34.0,Madonna,Don’t Tell Me,Female,2000
35.0,Missy “Misdemeanor” Elliott,Get Ur Freak On,Female,2000
36.0,K-Ci and JoJo,Crazy,Male Group,2000
37.0,Craig David,Fill Me In,Male,2000
38.0,Janet,Someone To Call My Lover,Female,2000
39.0,Creed,With Arms Wide Open,Male,2000
40.0,Mya,Case Of The Ex (Whatcha Gonna Do),Female,2000
41.0,O-Town,All Or Nothing,Mixed Group,2000
42.0,Destiny’s Child,Bootylicious,Female Group,2000
43.0,Nelly Furtado,I’m Like A Bird,Female,2000
44.0,3 Doors Down,Kryptonite,Male Group,2000
45.0,R. Kelly feat. Jay-Z,Fiesta,Male,2000
46.0,Sugar Ray,When It’s Over,Male,2000
47.0,Aerosmith,Jaded,Male Group,2000
48.0,Jagged Edge,Promise,Male Group,2000
49.0,Case,Missing You,Male,2000
50.0,Ginuwine,Differences,Male,2000
51.0,N Sync,This I Promise You,Male Group,2000
52.0,Jay-Z,Izzo (H.O.V.A.),Male,2000
53.0,Lil’ Mo feat. Fabolous,Superwoman Pt. II,Mixed Group,2000
54.0,Evan And Jaron,Crazy For This Girl,Mixed Group,2000
55.0,Ricky Martin and Christina Aguilera,Nobody Wants To Be Lonely,Mixed Group,2000
56.0,Jay-Z,I Just Wanna Love U (Give It 2 Me),Male,2000
57.0,Missy “Misdemeanor” Elliott,One Minute Man,Female,2000
58.0,Mystikal feat. Nivea,Danger (Been So Long),Mixed Group,2000
59.0,Enya,Only Time,Female,2000
60.0,Toya,I Do!!,Female,2000
61.0,S Club 7,Never Had A Dream Come True,Mixed Group,2000
62.0,Tamia,Stranger In My House,Female,2000
63.0,Jessica Simpson,Irresistible,Female,2000
64.0,Sunshine Anderson,Heard It All Before,Female,2000
65.0,Dave Matthews Band,The Space Between,Male Group,2000
66.0,Faith Hill,There You’ll Be,Female,2000
67.0,Musiq Soulchild,Love,Male,2000
68.0,112,It’s Over Now,Male Group,2000
69.0,3LW,No More (Baby I’ma Do Right),Female Group,2000
70.0,Nelly Furtado,Turn Off The Light,Female,2000
71.0,Brooks and Dunn,Ain’t Nothing `Bout You,Male Group,2000
72.0,Jennifer Lopez,Play,Female,2000
73.0,Lonestar,I’m Already There,Male Group,2000
74.0,Lil’ Romeo,My Baby,Male,2000
75.0,U2,Beautiful Day,Male Group,2000
76.0,Blake Shelton,Austin,Male,2000
77.0,Ludacris,Southern Hospitality,Male,2000
78.0,Tim McGraw,Grown Men Don’t Cry,Male,2000
79.0,Ja Rule feat. Case,Livin’ It Up,Male,2000
80.0,Mariah Carey feat. Cameo,Loverboy,Mixed Group,2000
81.0,Isley Brothers feat. Ronald Isley AKA Mr. Biggs,Contagious,Male Group,2000
82.0,Jessica Andrews,Who I Am,Female,2000
83.0,Erick Sermon feat. Marvin Gaye,Music,Male,2000
84.0,Willa Ford,I Wanna Be Bad,Female,2000
85.0,Kenny Chesney,Don’t Happen Twice,Male,2000
86.0,Diamond Rio,One More Day,Male,2000
87.0,R. Kelly,I Wish,Male,2000
88.0,Travis Tritt,It’s A Great Day To Be Alive,Male,2000
89.0,Trick Daddy,I’m A Thug,Male,2000
90.0,Eve 6,Here’s To The Night,Male Group,2000
91.0,Toby Keith,You Shouldn’t Kiss Me Like This,Male,2000
92.0,Eden’s Crush,Get Over Yourself,Female Group,2000
93.0,Debelah Morgan,Dance With Me,Female,2000
94.0,Outkast,"So Fresh, So Clean",Male Group,2000
95.0,Nelly,E.I.,Male,2000
96.0,3 Doors Down,Be Like That,Male Group,2000
97.0,Pink,Most Girls,Female,2000
98.0,QB’s Finest feat. Nas and Braveheart’s,Oochie Wally,Mixed Group,2000
99.0,Enrique Iglesias,Hero,Male,2000
100.0,Fuel,Hemorrhage (In My Hands),Male Group,2000
1.0,Mariah Carey,We Belong Together,Female,2005
2.0,Gwen Stefani,Hollaback Girl,Female,2005
3.0,Mario,Let Me Love You,male,2005
4.0,Kelly Clarkson,Since U Been Gone,Female,2005
5.0,Ciara feat. Missy Elliott,"1, 2 Step",Female,2005
6.0,Kanye West feat. Jamie Foxx,Gold Digger,male,2005
7.0,Green Day,Boulevard of Broken Dreams,Male Group,2005
8.0,50 Cent feat. Olivia,Candy Shop,Mixed Group,2005
9.0,The Pussycat Dolls feat. Busta Rhymes,Don’t Cha,Mixed Group,2005
10.0,Kelly Clarkson,Behind These Hazel Eyes,Female,2005
11.0,50 Cent,Disco Inferno,male,2005
12.0,Lifehouse,You and Me,Male Group,2005
13.0,The Black Eyed Peas,Don’t Phunk With My Heart,Mixed Group,2005
14.0,Missy Elliott feat. Ciara and Fat Man Scoop,Lose Control,Mixed Group,2005
15.0,Mariah Carey,Shake it Off,Female,2005
16.0,The Killers,Mr. Brightside,Male Group,2005
17.0,50 Cent,Just a Lil Bit,male,2005
18.0,Rihanna,Pon de Replay,Female,2005
19.0,The Game feat. 50 Cent,How We Do,male,2005
20.0,Weezer,Beverly Hills,Male Group,2005
21.0,Ciara feat. Ludacris,Oh,Mixed Group,2005
22.0,Rob Thomas,Lonely No More,male,2005
23.0,Snoop Dogg feat. Pharrell,Drop it Like It’s Hot,male,2005
24.0,The Game feat. 50 Cent,Hate It or Love It,male,2005
25.0,Lil Jon and The East Side Boyz feat. Usher and Ludacris,Lovers and Friends,Male Group,2005
26.0,Destiny’s Child feat. T.I. and Lil Wayne,Soldier,Mixed Group,2005
27.0,Kelly Clarkson,Breakaway,Female,2005
28.0,Will Smith,Switch,male,2005
29.0,Bow Wow feat. Omarion,Let Me HOld You,male,2005
30.0,Bow Wow feat. Ciara,Like You,Mixed Group,2005
31.0,Gwen Stefani feat. Eve,Rich Girl,Female,2005
32.0,The Black Eyed Peas,My Humps,Mixed Group,2005
33.0,Frankie J feat. Baby Bash,Obsession (No Es Amor),Male Group,2005
34.0,Usher,Caught Up,male,2005
35.0,D.H.T.,Listen to your Heart,Mixed Group,2005
36.0,Papa Roach,Scars,Male Group,2005
37.0,Gorillaz,Feel Good Inc,Male Group,2005
38.0,3 Doors Down,Let Me Go,Male Group,2005
39.0,Green Day,Holiday,Male Group,2005
40.0,Fall Out Boy,"Sugar, we’re Goin’ Down",Male Group,2005
41.0,Pretty Ricky,Grind With Me,Male Group,2005
42.0,Chris Brown,Run It!,male,2005
43.0,Nickelback,Photograph,male,2005
44.0,Akon,Lonely,male,2005
45.0,Howie Day,Collide,male,2005
46.0,Green Day,Wake Me up When September Ends,Male Group,2005
47.0,Bobby Valentino,Slow Down,male,2005
48.0,Nelly feat. Tim McGraw,Over and Over,male,2005
49.0,Trillville feat. Cutty,Some Cut,Male Group,2005
50.0,Fat Joe feat. Nelly,Get it Poppin’,male,2005
51.0,David Banner,Play,male,2005
52.0,Young Jeezy feat. Akon,Soul Survivor,male,2005
53.0,Ludacris feat. Bobby Valentino,Pimpin’ All Over the World,male,2005
54.0,Usher And Alicia Keys,My Boo,Mixed Group,2005
55.0,"Trick Daddy feat. Ludacris, Lil’ Kim and Cee-Lo",Sugar (Gimme Some),Mixed Group,2005
56.0,Alicia Keys,Karma,Female,2005
57.0,Coldplay,Speed of Sound,Male Group,2005
58.0,Gavin DeGraw,I Don’t Want to Be,male,2005
59.0,Eminem,Mockingbird,male,2005
60.0,Shakira feat. Alejandro Sanz,La Tortura,Mixed Group,2005
61.0,Maroon5,She Will be Loved,Male Group,2005
62.0,Baby Bash feat. Akon,Baby I’m Back,male,2005
63.0,Ying Yang Twins,Wait (The Whisper Song),Male Group,2005
64.0,Backstreet Boys,Incomplete,Male Group,2005
65.0,T.I.,Bring em Out,male,2005
66.0,Destiny’s Child,Cater 2 U,female group,2005
67.0,Amerie,1 Thing,Female,2005
68.0,Foo Fighters,Best of You,Male Group,2005
69.0,Mariah Carey,It’s Like That,Female,2005
70.0,Natalie,Goin’ Crazy,Female,2005
71.0,Carrie Underwood,Inside your Heaven,Female,2005
