Rank,Artist,Song,Gender,Year
56,Andy Williams,The Village Of St. Bernadette,Male,1960
57,The Browns,The Old Lamplighter,Mixed Group,1960
58,Bill Black’s Combo,White Silver Sands,Male Group,1960
59,Bobby Vee,Devil Or Angel,Male,1960
60,Four Preps,Down By The Station,Male Group,1960
61,Little Dippers,Forever,Mixed Group,1960
62,Safaris and The Phantom’s Band,Image Of A Girl,Male Group,1960
63,Brook Benton,Kiddio,Female,1960
64,Donnie Brooks,Mission Bell,Male,1960
65,Marv Johnson,I Love The Way You Love,Male,1960
66,Paul Anka,It’s Time To Cry,Male,1960
67,Ray Peterson,Tell Laura I Love Her,Male,1960
68,Connie Francis,Mama,Female,1960
69,Steve Lawrence,Footsteps,Male,1960
70,Everly Brothers,So Sad,Male Group,1960
71,Brenda Lee,That’s All You Gotta Do,Female,1960
72,Fats Domino,Walking To New Orleans,Male,1960
73,Connie Francis,Among My Souvenirs,Female Group,1960
74,Bobby Rydell,Swingin’ School,Male,1960
75,Dinah Washington and Brook Benton,A Rockin’ Good Way,Female Group,1960
76,Neil Sedaka,Stairway To Heaven,Male,1960
77,Paul Anka,My Home Town,Male,1960
78,Ray Charles,Georgia On My Mind,Male,1960
79,Skip and Flip,Cherry Pie,Male,1960
80,Sam Cooke,Wonderful World,Male,1960
81,Spencer Ross,Tracy’s Theme,Male,1960
82,Lloyd Price,Lady Luck,Male,1960
83,Crests,Step By Step,Male Group,1960
84,Paul Evans,Happy-Go-Lucky Me,Male,1960
85,Ricky Nelson,Young Emotions,Male,1960
86,Johnny Burnette,Dreamin’,Male,1960
87,Johnny Tillotson,Poetry In Motion,Male,1960
88,Annette,O Dio Mio,Female,1960
89,Joe Jones,You Talk Too Much,Male,1960
90,Johnny and The Hurricanes,Beatnik Fly,Male Group,1960
91,Everly Brothers,When Will I Be Loved,Male Group,1960
92,Bob Luman,Let’s Think About Livin’,Male,1960
93,Guy Mitchell,Heartaches By The Number,Male,1960
94,Anita Bryant,In My Little Corner Of The World,Female,1960
95,Jackie Wilson,Doggin’ Around,Male,1960
96,Bobby Rydell,Little Bitty Girl,Male,1960
97,Barret Strong,Money,Male,1960
98,Maurice Williams,Stay,Male,1960
99,Charlie Rich,Lonely Weekends,Male,1960
100,Larry Hall,Sandy,Male,1960
1,Sam The Sham and The Pharaohs,Wooly Bully,Male Group,1965
2,Four Tops,I Can’t Help Myself (Sugar Pie Honey Bunch),Male Group,1965
3,Rolling Stones,(I Can’t Get No) Satisfaction,Male Group,1965
4,We Five,You Were On My Mind,Mixed Group,1965
5,Righteous Brothers,You’ve Lost That Lovin’ Feelin’,Male Group,1965
6,Petula Clark,Downtown,Female,1965
7,Beatles,Help!,Male Group,1965
8,Herman’s Hermits,Can’t You Hear My Heartbeat,Male Group,1965
9,Elvis Presley,Crying In The Chapel,Male,1965
10,Temptations,My Girl,Male Group,1965
11,Beach Boys,"Help Me, Rhonda",Male Group,1965
12,Roger Miller,King Of The Road,Male,1965
13,Jewel Aikens,The Birds And The Bees,Male,1965
14,Mel Carter,"Hold Me, Thrill Me, Kiss Me",Male,1965
15,Jr. Walker and The All Stars,Shotgun,Male Group,1965
16,Sonny and Cher,I Got You Babe,Mixed Group,1965
17,Gary Lewis and The Playboys,This Diamond Ring,Male Group,1965
18,Ramsey Lewis Trio,The “In” Crowd,Male Group,1965
19,Herman’s Hermits,Mrs. Brown You’ve Got A Lovely Daughter,Male Group,1965
20,Supremes,Stop! In The Name Of Love,Female Group,1965
21,Righteous Brothers,Unchained Melody,Male Group,1965
22,Herman’s Hermits,Silhouettes,Male Group,1965
23,Seekers,I’ll Never Find Another You,Mixed Group,1965
24,Jay and The Americans,"Cara, Mia",Male Group,1965
25,Byrds,Mr. Tambourine Man,Male Group,1965
26,Sounds Orchestral,Cast Your Fate To The Wind,Male Group,1965
27,Barbara Mason,"Yes, I’m Ready",Female,1965
28,Tom Jones,What’s New Pussycat?,Male,1965
29,Barry McGuire,Eve Of Destruction,Male,1965
30,McCoys,Hang On Sloopy,Male Group,1965
31,Beatles,Ticket To Ride,Male Group,1965
32,Bert Kaempfert and His Orch.,Red Roses For A Blue Lady,Male,1965
33,James Brown and The Famous Flames,Papa’s Got A Brand New Bag,Male,1965
34,Wayne Fontana and The Mindbenders,Game Of Love,Male,1965
35,Shirley Ellis,The Name Game,Female,1965
36,Petula Clark,I Know A Place,Female,1965
37,Supremes,Back In My Arms Again,Female Group,1965
38,Barbara Lewis,Baby I’m Yours,Female,1965
39,Kingsmen,The Jolly Green Giant,Male Group,1965
40,Patti Page,"Hush, Hush, Sweet Charlotte",Female,1965
41,Bob Dylan,Like A Rolling Stone,Male,1965
42,Freddie and The Dreamers,I’m Telling You Now,Male,1965
43,Gerry and The Pacemakers,Ferry Cross The Mersey,Male,1965
44,Righteous Brothers,Just Once In My Life,Male Group,1965
45,Johnny Rivers,Seventh Son,Male,1965
46,Herman’s Hermits,"I’m Henry VIII, I Am",Male Group,1965
47,Horst Jankowski,A Walk In The Black Forest,Male,1965
48,Yardbirds,For Your Love,Male Group,1965
49,Beach Boys,California Girls,Male Group,1965
50,Moody Blues,Go Now,Male Group,1965
51,Shirley Bassey,Goldfinger,Female,1965
52,Billy Joe Royal,Down In The Boondocks,Male,1965
53,Glenn Yarbrough,Baby The Rain Must Fall,Male,1965
54,Dave Clark Five,Catch Us If You Can,Male Group,1965
55,Beatles,Eight Days A Week,Male Group,1965
56,Beau Brummels,Just A Little,Male Group,1965
57,Ian Whitcomb,You Turn Me On,Male,1965
58,Marvin Gaye,I’ll Be Doggone,Male,1965
59,Gary Lewis and The Playboys,Save Your Heart For Me,Male,1965
60,Kinks,Tired Of Waiting For You,Male Group,1965
61,Gary Lewis and The Playboys,Count Me In,Male,1965
62,Kinks,All Day And All Of The Night,Male Group,1965
63,Jackie DeShannon,What The World Needs Now Is Love,Female,1965
64,Tom Jones,It’s Not Unusual,Male,1965
65,Sir Douglas Quintet,She’s About A Mover,Male Group,1965
66,Sam Cooke,Shake,Male,1965
67,Herman’s Hermits,Wonderful World,Male Group,1965
68,Martha and The Vandellas,Nowhere To Run,Female Group,1965
69,Yardbirds,Heart Full Of Soul,Male Group,1965
70,Searchers,Love Potion Number Nine,Male Group,1965
71,Dickle Lee,Laurie (Strange Things Happen),Male,1965
72,Sonny and Cher,Baby Don’t Go,Mixed Group,1965
73,Turtles,It Ain’t Me Babe,Male Group,1965
74,Zombies,Tell Her No,Male Group,1965
75,Peter and Gordon,I Go To Pieces,Male Group,1965
76,Vic Dana,Red Roses For A Blue Lady,Male,1965
77,Patty Duke,Don’t Just Stand There,Female,1965
78,Miracles,The Tracks Of My Tears,Mixed Group,1965
79,Brenda Lee,Too Many Rivers,Female,1965
80,Dave Clark Five,I Like It Like That,Male Group,1965
81,Bobby Goldsboro,Little Things,Male,1965
82,Peter and Gordon,True Love Ways,Male Group,1965
83,Four Tops,It’s The Same Old Song,Male Group,1965
84,Fortunes,You’ve Got Your Troubles,Male Group,1965
85,Joe Tex,Hold What You’ve Got,Male,1965
86,Animals,We Gotta Get Out Of This Place,Male Group,1965
87,Beau Brummels,"Laugh, Laugh",Male Group,1965
88,Rolling Stones,The Last Time,Male Group,1965
89,Lovin’ Spoonful,Do You Believe In Magic,Male Group,1965
90,Cher,All I Really Want To Do,Female,1965
91,Little Anthony and The Imperials,Take Me Back,Male,1965
92,Strangeloves,I Want Candy,Male Group,1965
93,Miracles,Ooo Baby Baby,Mixed Group,1965
94,Sonny,Laugh At Me,Male,1965
95,Roy Head,Treat Her Right,Male,1965
96,Jack Jones,The Race Is On,Male,1965
97,"Dino, Desi and Billy",I’m A Fool,Male Group,1965
98,Ad Libs,The Boy From New York City,Mixed Group,1965
99,Del Shannon,Keep Searchin’,Male,1965
100,Marvin Gaye,How Sweet It Is (To Be Loved By You),Male,1965
1,Simon and Garfunkel,Bridge Over Troubled Water,Male Group,1970
2,Carpenters,(They Long To Be) Close To You,Mixed Group,1970
3,Guess Who,American Woman / No Sugar Tonight,Male Group,1970
4,B.J. Thomas,Raindrops Keep Fallin’ On My Head,Male,1970
5,Edwin Starr,War,Male,1970
6,Diana Ross,Ain’t No Mountain High Enough,Female,1970
7,Jackson 5,I’ll Be There,Male Group,1970
8,Rare Earth,Get Ready,Male Group,1970
9,Beatles,Let It Be,Male Group,1970
10,Freda Payne,Band Of Gold,Female,1970
11,Three Dog Night,Mama Told Me (Not To Come),Male Group,1970
12,Ray Stevens,Everything Is Beautiful,Male,1970
13,Bread,Make It With You,Male Group,1970
14,Vanity Fair,Hitchin’ A Ride,Male Group,1970
15,Jackson 5,ABC,Male Group,1970
16,Jackson 5,The Love You Save / I Found That Girl,Male Group,1970
17,Neil Diamond,Cracklin’ Rose,Male,1970
18,Dawn,Candida,Mixed Group,1970
19,Sly and The Family Stone,Thank You (Fallettin Me Be Mice Elf Again) / Everybody Is A Star,Mixed Group,1970
20,Eric Burdon and War,Spill The Wine,Male Group,1970
21,Five Stairsteps and Cubie,O-o-h Child / Dear Prudence,Male Group,1970
22,Norman Greenbaum,Spirit In The Sky,Male,1970
23,Melanie and The Edwin Hawkins Singers,Lay Down (Candles In The Rain),Mixed Group,1970
24,Temptations,Ball Of Confusion (That’s What The World Is Today),Male Group,1970
25,Moments,Love On A Two Way Street,Male Group,1970
26,Poppy Family,Which Way You Goin’ Billy?,Mixed Group,1970
27,Free,All Right Now,Male Group,1970
28,Jackson 5,I Want You Back,Male Group,1970
29,Bobby Sherman,"Julie, Do Ya Love Me",Male,1970
30,Sugarloaf,Green-eyed Lady,Male Group,1970
31,Stevie Wonder,"Signed Sealed, Delivered (I’m Yours)",Male,1970
32,Blues Image,Ride Captain Ride,Male Group,1970
33,Shocking Blue,Venus,Mixed Group,1970
34,John Ono Lennon,Instant Karma (We All Shine On),Male,1970
35,Clarence Carter,Patches,Male,1970
36,Creedence Clearwater Revival,Lookin’ Out My Back Door / Long As I Can See The Light,Male Group,1970
37,Brook Benton,Rainy Night In Georgia,Male,1970
38,Kenny Rogers and The First Edition,Something’s Burning,Mixed Group,1970
39,Chairmen Of The Board,Give Me Just A Little More Time,Male Group,1970
40,Edison Lighthouse,Love Grows (Where My Rosemary Goes),Male Group,1970
41,Beatles,The Long And Winding Road / For You Blue,Male Group,1970
42,Anne Murray,Snowbird,Female,1970
43,Marmalade,Reflections Of My Life,Male Group,1970
44,Eddie Holman,Hey There Lonely Girl,Male,1970
45,Jaggerz,The Rapper,Male Group,1970
46,Hollies,"He Ain’t Heavy, He’s My Brother",Male Group,1970
47,Alive and Kicking,"Tighter, Tighter",Mixed Group,1970
48,Badfinger,Come And Get It,Male Group,1970
49,Simon and Garfunkel,Cecelia,Male Group,1970
50,Charles Wright and The Watts 103rd Street Rhythm Band,Love Land,Male Group,1970
51,Tyrone Davis,Turn Back The Hands Of Time,Male,1970
52,Kinks,Lola,Male Group,1970
53,Mungo Jerry,In The Summertime,Male Group,1970
54,R. Dean Taylor,Indiana Wants Me,Male,1970
