,Artist,Song,Gender
1,Gordon Jenkins and The Weavers,Goodnight Irene,Mixed Group
2,Nat King Cole,Mona Lisa,Male
3,Anton Karas,Third Man Theme,Male
4,Gary and Bing Crosby,Sam’s Song,Male Group
5,Gary and Bing Crosby,Simple Melody,Male Group
6,Teresa Brewer,"Music, Music, Music",Female
7,Guy Lombardo,Third Man Theme,Male
8,Red Foley,Chattanoogie Shoe Shine Boy,Male
9,Sammy Kaye,Harbor Lights,Male
10,Sammy Kaye and Don Cornell,It Isn’t Fair,Male Group
11,Eileen Barton,If I Knew You Were Coming I’d’ve Baked A Cake,Female
12,Kay Starr,Bonaparte’s Retreat,Female
13,Gordon Jenkins and The Weavers,"Tzena, Tzena, Tzena",Mixed Group
14,Tony Martin,There’s No Tomorrow,Male
15,Phil Harris,The Thing,Male
16,Ames Brothers,Sentimental Me,Male Group
17,Andrews Sisters and Gordon Jenkins,I Wanna Be Loved,Mixed Group
18,Patti Page,Tennessee Waltz,Female
19,Andrews Sisters and Gordon Jenkins,"I Can Dream, Can’t I",Mixed Group
20,Tennessee Ernie Ford and Kay Starr,I’ll Never Be Free,Mixed Group
21,Patti Page,All My Love,Female
22,Gordon Jenkins,My Foolish Heart,Male
23,Ames Brothers,Rag Mop,Male Group
24,Bill Snyder,Bewitched,Male
25,Perry Como,Hoop-Dee-Doo,Male
26,Gordon Jenkins,Bewitched,Male
27,Ames Brothers,Can Anyone Explain?,Male Group
28,Billy Eckstine,My Foolish Heart,Male
29,Bing Crosby,Dear Hearts And Gentle People,Male
30,Frankie Laine,Cry Of The Wild Goose,Male
