,Artist,Song,Gender
1,Coolio,Gangsta’s Paradise,Male
2,TLC,Waterfalls,Female Group
3,TLC,Creep,Female Group
4,Seal,Kiss From A Rose,Male
5,Boyz II Men,On Bended Knee,Male Group
6,Real McCoy,Another Night,Mixed Group
7,Mariah Carey,Fantasy,Female
8,Madonna,Take A Bow,Female
9,Monica,Don’t Take It Personal (Just One Of Dem Days),Female
10,Montell Jordan,This Is How We Do It,Male
11,Dionne Farris,I Know,Female
12,Boyz II Men,Water Runs Dry,Male Group
13,Adina Howard,Freak Like Me,Female
14,Blues Traveler,Run-Around,Male Group
15,All-4-One,I Can Love You Like That,Male Group
16,Bryan Adams,Have You Ever Really Loved A Woman?,Male
17,Bon Jovi,Always,Male
18,Shaggy,Boombastic / In The Summertime,Male
19,Nicki French,Total Eclipse Of The Heart,Female
20,Des’ree,You Gotta Be,Female
21,Michael Jackson,You Are Not Alone,Male
22,Hootie and The Blowfish,Hold My Hand,Male Group
23,Notorious B.I.G.,One More Chance-Stay With Me,Male
24,Ini Kamoze,Here Comes The Hotstepper,Male
25,Soul For Real,Candy Rain,Male Group
26,Hootie and The Blowfish,Let Her Cry,Male Group
27,Blessid Union Of Souls,I Believe,Male Group
28,TLC,Red Light Special,Female Group
29,Janet Jackson,Runaway,Female
30,Sheryl Crow,Strong Enough,Female
31,Vanessa Williams,Colors Of The Wind,Female
32,Jon B.,Someone To Love,Male
33,Hootie and The Blowfish,Only Wanna Be With You,Male Group
34,Brownstone,If You Love Me,Female Group
35,Martin Page,In The House Of Stone And Light,Male
36,Luniz,I Got 5 On It,Male Group
37,Brandy,Baby,Female
38,Real McCoy,Run Away,Mixed Group
39,Sophie B. Hawkins,As I Lay Me Down,Female
40,Mokenstef,He’s Mine,Female Group
41,Collective Soul,December,Male Group
42,Method Man-Mary J. Blige,I’ll Be There For You-You’re All I Need To Get By,Mixed Group
43,Diana King,Shy Guy,Female
44,Melissa Etheridge,I’m The Only One,Female
45,Soul For Real,Every Little Thing I Do,Male Group
46,BLACKstreet,Before I Let You Go,Male Group
47,Notorious B.I.G.,Big Poppa / Warning,Male
48,4 P.M.,Sukiyaki,Male Group
49,Brandy,I Wanna Be Down,Female
50,Boyz II Men,I’ll Make Love To You,Male Group
51,2Pac,Dear Mama / Old School,Male
52,Jamie Walters,Hold On,Male
53,Dr. Dre,Keep Their Heads Ringin’,Male
54,Corona,The Rhythm Of The Night,Female
55,Del Amitri,Roll To Me,Male Group
56,Michael Jackson and Janet Jackson,Scream / Childhood,Mixed Group
57,Jodeci,Freek’n You,Male Group
58,Skee-lo,I Wish,Male
59,Elton John,Believe,Male Group
60,Natalie Merchant,Carnival,Female
61,Tom Petty,You Don’t Know How It Feels,Male
62,Take That,Back For Good,Male Group
63,69 Boyz,Tootsee Roll,Male Group
64,Janet Jackson,You Want This-70’s Love Groove,Female
65,Groove Theory,Tell Me,Mixed Group
66,Total,Can’t You See,Female Group
67,Sheryl Crow,All I Wanna Do,Female
68,Subway,This Lil’ Game We Play,Male Group
69,Real McCoy,Come And Get Your Love,Mixed Group
70,Bon Jovi,This Ain’t A Love Song,Male
71,Madonna,Secret,Female
72,Junior M.A.F.I.A.,Player’s Anthem,Mixed Group
73,Naughty By Nature,Feel Me Flow,Male Group
74,Jade,Every Day Of The Week,Female Group
75,Vanessa Williams,The Sweetest Days,Female
76,20 Fingers feat. Gillette,Short Dick Man,Female
77,Brandy,Brokenhearted,Female
78,Annie Lennox,No More “I Love You’s”,Female
79,Faith Evans,You Used To Love Me,Mixed Group
80,Immature,Constantly,Male Group
81,U2,"Hold Me, Thrill Me, Kiss Me, Kill Me",Male Group
82,Crystal Waters,100% Pure Love,Female
83,Raphael Saadiq,Ask Of You,Male
84,Az,Sugar Hill,Male
85,Better Than Ezra,Good,Male Group
86,D’angelo,Brown Sugar,Male
87,Gloria Estefan,Turn The Beat Around,Female
88,After 7,‘Til You Do Me Right,Male Group
89,Bone Thugs-N-Harmony,1st Of Tha Month,Male Group
90,Melissa Etheridge,Like The Way I Do-If I Wanted To,Female
91,Firehouse,I Live My Life For You,Male Group
92,Stevie B,Dream About You-Funky Melody,Male
93,Rednex,Cotton Eye Joe,Mixed Group
94,Boyz II Men,Thank You,Male Group
95,Pretenders,I’ll Stand By You,Mixed Group
96,N II U,I Miss You,Male Group
97,Da Brat,Give It 2 You,Female
98,Brandy,Best Friend,Female
99,Soul Asylum,Misery,Male Group
100,Van Halen,Can’t Stop Lovin’ You,Male Group
