,Artist,Song,Gender
1,Blondie,Call Me,Mixed Group
2,Pink Floyd,Another Brick In The Wall,Male Group
3,Olivia Newton-John,Magic,Female
4,Michael Jackson,Rock With You,Male
5,Captain and Tennille,Do That To Me One More Time,Mixed Group
6,Queen,Crazy Little Thing Called Love,Male Group
7,Paul McCartney,Coming Up,Male
8,"Lipps, Inc.",Funkytown,Mixed Group
9,Billy Joel,It’s Still Rock And Roll To Me,Male
10,Bette Midler,The Rose,Female
11,Rupert Holmes,Escape (The Pina Colada Song),Male
12,Gary Numan,Cars,Male
13,Smokey Robinson,Cruisin’,Male
14,Spinners,Working My Way Back To You-Forgive Me Girl,Male Group
15,Air Supply,Lost In Love,Male Group
16,Elton John,Little Jeannie,Male
17,Cristopher Cross,Ride Like The Wind,Male
18,Diana Ross,Upside Down,Female
19,K.C. and The Sunshine Band,Please Don’t Go,Mixed Group
20,Styx,Babe,Male Group
21,Billy Preston and Syreeta,With You I’m Born Again,Mixed Group
22,Manhattans,Shining Star,Male Group
23,Commodores,Still,Male Group
24,Teri De Sario With K.C.,"Yes, I’m Ready",Female
25,Dr. Hook,Sexy Eyes,Male
26,Robbie Dupree,Steal Away,Male
27,Ambrosia,Biggest Part Of Me,Male Group
28,Kenny Loggins,This Is It,Male Group
29,Spinners,Cupid/I’ve Loved You For A Long Time,Male Group
30,Jermaine Jackson,Let’s Get Serious,Male
31,Kenny Rogers and Kim Carnes,Don’t Fall In Love With A Dreamer,Mixed Group
32,Christopher Cross,Sailing,Male
33,Dan Fogelberg,Longer,Male
34,Kenny Rogers,Coward Of The County,Male
35,Kool and The Gang,Ladies Night,Male Group
36,Kool and The Gang,Too Hot,Male Group
37,S.O.S. Band,Take Your Time,Mixed Group
38,Barbra Streisand and Donna Summer,No More Tears (Enough Is Enough),Female
39,Kim Carnes,More Love,Female
40,M,Pop Muzik,Male
41,Pretenders,Brass In Pocket,Mixed Group
42,"Ray, Goodman and Brown",Special Lady,Male Group
43,Stevie Wonder,Send One Your Love,Male
44,Shalamar,The Second Time Around,Mixed Group
45,Cliff Richard,We Don’t Talk Anymore,Male
46,Brothers Johnson,Stomp,Male Group
47,Eagles,Heartache Tonight,Male Group
48,Rocky Burnette,Tired Of Toein’ The Line,Male
49,Dr. Hook,Better Love Next Time,Male
50,Rupert Holmes,Him,Male
51,Bob Seger and The Silver Bullet Band,Against The Wind,Male
52,Donna Summer,On The Radio,Female
53,Rolling Stones,Emotional Rescue,Male Group
54,Herb Alpert,Rise,Male
55,Air Supply,All Out Of Love,Male Group
56,Little River Band,Cool Change,Male Group
57,J.D. Souther,You’re Only Lonely,Male
58,Andy Gibb,Desire,Male
59,Pete Townshend,Let My Love Open The Door,Male
60,Steve Forbert,Romeo’s Tune,Male
61,Anne Murray,Daydream Believer,Female
62,Eagles,I Can’t Tell You Why,Male Group
63,Isaac Hayes,Don’t Let Go,Male
64,Tom Petty and The Heartbreakers,Don’t Do Me Like That,Male
65,Michael Jackson,She’s Out Of My Life,Male
66,Irene Cara,Fame,Female
67,Bob Seger and The Silver Bullet Band,Fire Lake,Male
68,Linda Ronstadt,How Do I Make You,Female
69,Benny Mardones,Into The Night,Male
70,Pure Prairie League,Let Me Love You Tonight,Male Group
71,Genesis,Misunderstanding,Male Group
72,Dirt Band,An American Dream,Male Group
73,Carole King,One Fine Day,Female
74,Donna Summer,Dim All The Lights,Female
75,Billy Joel,You May Be Right,Male
76,Neil Sedaka and Dara Sedaka,Should’ve Never Let You Go,Mixed Group
77,Charlie Dore,Pilot Of The Airwaves,Male
78,Linda Ronstadt,Hurt So Bad,Female
79,Michael Jackson,Off The Wall,Male
80,Peaches and Herb,I Pledge My Love,Mixed Group
81,Eagles,The Long Run,Male Group
82,Mickey Gilley,Stand By Me,Male
83,Pat Benatar,Heartbreaker,Male
84,Dionne Warwick,Deja Vu,Female
85,Eddie Rabbitt,Drivin’ My Life Away,Male
86,Supertramp,Take The Long Way Home,Male Group
87,Fleetwood Mac,Sara,Male Group
88,Daryl Hall and John Oates,Wait For Me,Male
89,Boz Scaggs,Jo Jo,Male
90,Neil Diamond,September Morn,Male
91,George Benson,Give Me The Night,Male
92,Anne Murray,Broken Hearted Me,Female
93,Kenny Rogers,You Decorated My Life,Male
94,Fleetwood Mac,Tusk,Male Group
95,Prince,I Wanna Be Your Lover,Male
96,Charlie Daniels Band,In America,Male Group
97,Boz Scaggs,Breakdown Dead Ahead,Male
98,Barry Manilow,Ships,Male
99,Joe Walsh,All Night Long,Male
100,Tom Petty and The Heartbreakers,Refugee,Male
