,Artist,Song,Gender
1,Sam The Sham and The Pharaohs,Wooly Bully,Male Group
2,Four Tops,I Can’t Help Myself (Sugar Pie Honey Bunch),Male Group
3,Rolling Stones,(I Can’t Get No) Satisfaction,Male Group
4,We Five,You Were On My Mind,Mixed Group
5,Righteous Brothers,You’ve Lost That Lovin’ Feelin’,Male Group
6,Petula Clark,Downtown,Female
7,Beatles,Help!,Male Group
8,Herman’s Hermits,Can’t You Hear My Heartbeat,Male Group
9,Elvis Presley,Crying In The Chapel,Male
10,Temptations,My Girl,Male Group
11,Beach Boys,"Help Me, Rhonda",Male Group
12,Roger Miller,King Of The Road,Male
13,Jewel Aikens,The Birds And The Bees,Male
14,Mel Carter,"Hold Me, Thrill Me, Kiss Me",Male
15,Jr. Walker and The All Stars,Shotgun,Male Group
16,Sonny and Cher,I Got You Babe,Mixed Group
17,Gary Lewis and The Playboys,This Diamond Ring,Male Group
18,Ramsey Lewis Trio,The “In” Crowd,Male Group
19,Herman’s Hermits,Mrs. Brown You’ve Got A Lovely Daughter,Male Group
20,Supremes,Stop! In The Name Of Love,Female Group
21,Righteous Brothers,Unchained Melody,Male Group
22,Herman’s Hermits,Silhouettes,Male Group
23,Seekers,I’ll Never Find Another You,Mixed Group
24,Jay and The Americans,"Cara, Mia",Male Group
25,Byrds,Mr. Tambourine Man,Male Group
26,Sounds Orchestral,Cast Your Fate To The Wind,Male Group
27,Barbara Mason,"Yes, I’m Ready",Female
28,Tom Jones,What’s New Pussycat?,Male
29,Barry McGuire,Eve Of Destruction,Male
30,McCoys,Hang On Sloopy,Male Group
31,Beatles,Ticket To Ride,Male Group
32,Bert Kaempfert and His Orch.,Red Roses For A Blue Lady,Male
33,James Brown and The Famous Flames,Papa’s Got A Brand New Bag,Male
34,Wayne Fontana and The Mindbenders,Game Of Love,Male
35,Shirley Ellis,The Name Game,Female
36,Petula Clark,I Know A Place,Female
37,Supremes,Back In My Arms Again,Female Group
38,Barbara Lewis,Baby I’m Yours,Female
39,Kingsmen,The Jolly Green Giant,Male Group
40,Patti Page,"Hush, Hush, Sweet Charlotte",Female
41,Bob Dylan,Like A Rolling Stone,Male
42,Freddie and The Dreamers,I’m Telling You Now,Male
43,Gerry and The Pacemakers,Ferry Cross The Mersey,Male
44,Righteous Brothers,Just Once In My Life,Male Group
45,Johnny Rivers,Seventh Son,Male
46,Herman’s Hermits,"I’m Henry VIII, I Am",Male Group
47,Horst Jankowski,A Walk In The Black Forest,Male
48,Yardbirds,For Your Love,Male Group
49,Beach Boys,California Girls,Male Group
50,Moody Blues,Go Now,Male Group
51,Shirley Bassey,Goldfinger,Female
52,Billy Joe Royal,Down In The Boondocks,Male
53,Glenn Yarbrough,Baby The Rain Must Fall,Male
54,Dave Clark Five,Catch Us If You Can,Male Group
55,Beatles,Eight Days A Week,Male Group
56,Beau Brummels,Just A Little,Male Group
57,Ian Whitcomb,You Turn Me On,Male
58,Marvin Gaye,I’ll Be Doggone,Male
59,Gary Lewis and The Playboys,Save Your Heart For Me,Male
60,Kinks,Tired Of Waiting For You,Male Group
61,Gary Lewis and The Playboys,Count Me In,Male
62,Kinks,All Day And All Of The Night,Male Group
63,Jackie DeShannon,What The World Needs Now Is Love,Female
64,Tom Jones,It’s Not Unusual,Male
65,Sir Douglas Quintet,She’s About A Mover,Male Group
66,Sam Cooke,Shake,Male
67,Herman’s Hermits,Wonderful World,Male Group
68,Martha and The Vandellas,Nowhere To Run,Female Group
69,Yardbirds,Heart Full Of Soul,Male Group
70,Searchers,Love Potion Number Nine,Male Group
71,Dickle Lee,Laurie (Strange Things Happen),Male
72,Sonny and Cher,Baby Don’t Go,Mixed Group
73,Turtles,It Ain’t Me Babe,Male Group
74,Zombies,Tell Her No,Male Group
75,Peter and Gordon,I Go To Pieces,Male Group
76,Vic Dana,Red Roses For A Blue Lady,Male
77,Patty Duke,Don’t Just Stand There,Female
78,Miracles,The Tracks Of My Tears,Mixed Group
79,Brenda Lee,Too Many Rivers,Female
80,Dave Clark Five,I Like It Like That,Male Group
81,Bobby Goldsboro,Little Things,Male
82,Peter and Gordon,True Love Ways,Male Group
83,Four Tops,It’s The Same Old Song,Male Group
84,Fortunes,You’ve Got Your Troubles,Male Group
85,Joe Tex,Hold What You’ve Got,Male
86,Animals,We Gotta Get Out Of This Place,Male Group
87,Beau Brummels,"Laugh, Laugh",Male Group
88,Rolling Stones,The Last Time,Male Group
89,Lovin’ Spoonful,Do You Believe In Magic,Male Group
90,Cher,All I Really Want To Do,Female
91,Little Anthony and The Imperials,Take Me Back,Male
92,Strangeloves,I Want Candy,Male Group
93,Miracles,Ooo Baby Baby,Mixed Group
94,Sonny,Laugh At Me,Male
95,Roy Head,Treat Her Right,Male
96,Jack Jones,The Race Is On,Male
97,"Dino, Desi and Billy",I’m A Fool,Male Group
98,Ad Libs,The Boy From New York City,Mixed Group
99,Del Shannon,Keep Searchin’,Male
100,Marvin Gaye,How Sweet It Is (To Be Loved By You),Male
