,Artist,Song,Gender
1,Percy Faith,Theme From “A Summer Place”,Male
2,Jim Reeves,He’ll Have To Go,Male
3,Everly Brothers,Cathy’s Clown,Male Group
4,Johnny Preston,Running Bear,Male
5,Mark Dinning,Teen Angel,Male
6,Brenda Lee,I’m Sorry,Female
7,Elvis Presley,It’s Now Or Never,Male
8,Jimmy Jones,Handy Man,Male
9,Elvis Presley,Stuck On You,Male
10,Chubby Checker,The Twist,Male
11,Connie Francis,Everybody’s Somebody’s Fool,Female
12,Bobby Rydell,Wild One,Male
13,Brothers Four,Greenfields,Male Group
14,Jack Scott,What In The World’s Come Over You,Male
15,Marty Robbins,El Paso,Male
16,Hollywood Argyles,Alley-oop,Male Group
17,Connie Francis,My Heart Has A Mind Of Its Own,Female
18,Brenda Lee,Sweet Nothin’s,Female
19,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Male
20,Roy Orbison,Only The Lonely,Male
21,Dion and The Belmonts,Where Or When,Male Group
22,Connie Stevens,Sixteen Reasons,Female
23,Paul Anka,Puppy Love,Male
24,Frankie Avalon,Why,Male
25,Ventures,"Walk, Dont Run",Male Group
26,Drifters,Save The Last Dance For Me,Male Group
27,Brook Benton and Dinah Washington,Baby (You Got What It Takes),Mixed Group
28,Johnny Horton,Sink The Bismark,Male
29,Sam Cooke,Chain Gang,Male
30,Everly Brothers,Let It Be Me,Male Group
31,Jimmy Jones,Good Timin’,Male
32,Bobby Darin,Beyond The Sea,Male
33,Jimmy Clanton,Go Jimmy Go,Male
34,Jackie Wilson,Night,Male
35,Jack Scott,Burning Bridges,Male
36,Toni Fisher,The Big Hurt,Female
37,Duane Eddy,Because They’re Young,Male
38,Conway Twitty,Lonely Blue Boy,Male
39,Steve Lawrence,Pretty Blue Eyes,Male
40,Freddie Cannon,Way Down Yonder In New Orleans,Male
41,Anita Bryant,Paper Roses,Female
42,Larry Verne,Mr. Custer,Male
43,Brenda Lee,I Want To Be Wanted,Female
44,Fendermen,Mule Skinner Blues,Male Group
45,Johnny Preston,Cradle Of Love,Male
46,Marv Johnson,You’ve Got What It Takes,Male
47,Hank Locklin,"Please Help Me, I’m Falling",Male
48,Ron Holden,Love You So,Male
49,Hank Ballard and The Midnighters,Finger Poppin’ Time,Male Group
50,Platters,Harbor Lights,Mixed Group
51,Billy Bland,Let The Little Girl Dance,Male
52,Jeanne Black,He’ll Have To Stay,Female
53,Ferrante and Teicher,Theme From The Apartment,Male Group
54,Bobby Rydell,Volare (Nel Blu Dipinto Di Blu),Male
55,Jimmy Charles,A Million To One,Male
56,Andy Williams,The Village Of St. Bernadette,Male
57,The Browns,The Old Lamplighter,Mixed Group
58,Bill Black’s Combo,White Silver Sands,Male Group
59,Bobby Vee,Devil Or Angel,Male
60,Four Preps,Down By The Station,Male Group
61,Little Dippers,Forever,Mixed Group
62,Safaris and The Phantom’s Band,Image Of A Girl,Male Group
63,Brook Benton,Kiddio,Female
64,Donnie Brooks,Mission Bell,Male
65,Marv Johnson,I Love The Way You Love,Male
66,Paul Anka,It’s Time To Cry,Male
67,Ray Peterson,Tell Laura I Love Her,Male
68,Connie Francis,Mama,Female
69,Steve Lawrence,Footsteps,Male
70,Everly Brothers,So Sad,Male Group
71,Brenda Lee,That’s All You Gotta Do,Female
72,Fats Domino,Walking To New Orleans,Male
73,Connie Francis,Among My Souvenirs,Female Group
74,Bobby Rydell,Swingin’ School,Male
75,Dinah Washington and Brook Benton,A Rockin’ Good Way,Female Group
76,Neil Sedaka,Stairway To Heaven,Male
77,Paul Anka,My Home Town,Male
78,Ray Charles,Georgia On My Mind,Male
79,Skip and Flip,Cherry Pie,Male
80,Sam Cooke,Wonderful World,Male
81,Spencer Ross,Tracy’s Theme,Male
82,Lloyd Price,Lady Luck,Male
83,Crests,Step By Step,Male Group
84,Paul Evans,Happy-Go-Lucky Me,Male
85,Ricky Nelson,Young Emotions,Male
86,Johnny Burnette,Dreamin’,Male
87,Johnny Tillotson,Poetry In Motion,Male
88,Annette,O Dio Mio,Female
89,Joe Jones,You Talk Too Much,Male
90,Johnny and The Hurricanes,Beatnik Fly,Male Group
91,Everly Brothers,When Will I Be Loved,Male Group
92,Bob Luman,Let’s Think About Livin’,Male
93,Guy Mitchell,Heartaches By The Number,Male
94,Anita Bryant,In My Little Corner Of The World,Female
95,Jackie Wilson,Doggin’ Around,Male
96,Bobby Rydell,Little Bitty Girl,Male
97,Barret Strong,Money,Male
98,Maurice Williams,Stay,Male
99,Charlie Rich,Lonely Weekends,Male
100,Larry Hall,Sandy,Male
