,Artist,Song,Gender
1,Perez Prado,Cherry Pink And Apple Blossom White,Male
2,Bill Haley and His Comets,Rock Around The Clock,Male Group
3,Mitch Miller,The Yellow Rose Of Texas,Male
4,Roger Williams,Autumn Leaves,Male
5,Les Baxter,Unchained Melody,Male
6,Bill Hayes,The Ballad Of Davy Crockett,Male
7,Four Aces,Love Is A Many Splendored Thing,Male Group
8,McGuire Sisters,Sincerely,Female Group
9,Pat Boone,Ain’t That A Shame,Male
10,Georgia Gibbs,Dance With Me Henry,Female
11,Crazy Otto,Crazy Otto Medley I & 11,Male
12,Billy Vaughn,Melody Of Love,Male
13,Tennessee Ernie Ford,Sixteen Tons,Male
14,Frank Sinatra,Learnin’ The Blues,Male
15,Fontaine Sisters,Hearts Of Stone,Female Group
16,Georgia Gibbs,Tweedle Dee,Female
17,Four Lads,Moments To Remember,Male Group
18,Chordettes,Mr. Sandman,Female Group
19,Joan Weber,Let Me Go Lover,Female
20,Nat King Cole,A Blossom Fell,Male
21,Al Hibbler,Unchained Melody,Male
22,Fess Parker,The Ballad Of Davy Crockett,Male
23,Art Mooney,Honey Babe,Male
24,Tennessee Ernie Ford,The Ballad Of Davy Crockett,Male
25,Perry Como,Ko Ko Mo,Male
26,Gisele Mackenzie,Hard To Get,Female
27,Ames Brothers,The Naughty Lady Of Shady Lane,Male Group
28,Jaye P. Morgan,That’s All I Want From You,Female 
29,Platters,Only You,Mixed Group
30,Somethin’ Smith and The Redheads,It’s A Sin To Tell A Lie,Male Group
