,Artist,Song,Gender
1,Simon and Garfunkel,Bridge Over Troubled Water,Male Group
2,Carpenters,(They Long To Be) Close To You,Mixed Group
3,Guess Who,American Woman / No Sugar Tonight,Male Group
4,B.J. Thomas,Raindrops Keep Fallin’ On My Head,Male
5,Edwin Starr,War,Male
6,Diana Ross,Ain’t No Mountain High Enough,Female
7,Jackson 5,I’ll Be There,Male Group
8,Rare Earth,Get Ready,Male Group
9,Beatles,Let It Be,Male Group
10,Freda Payne,Band Of Gold,Female
11,Three Dog Night,Mama Told Me (Not To Come),Male Group
12,Ray Stevens,Everything Is Beautiful,Male
13,Bread,Make It With You,Male Group
14,Vanity Fair,Hitchin’ A Ride,Male Group
15,Jackson 5,ABC,Male Group
16,Jackson 5,The Love You Save / I Found That Girl,Male Group
17,Neil Diamond,Cracklin’ Rose,Male
18,Dawn,Candida,Mixed Group
19,Sly and The Family Stone,Thank You (Fallettin Me Be Mice Elf Again) / Everybody Is A Star,Mixed Group
20,Eric Burdon and War,Spill The Wine,Male Group
21,Five Stairsteps and Cubie,O-o-h Child / Dear Prudence,Male Group
22,Norman Greenbaum,Spirit In The Sky,Male
23,Melanie and The Edwin Hawkins Singers,Lay Down (Candles In The Rain),Mixed Group
24,Temptations,Ball Of Confusion (That’s What The World Is Today),Male Group
25,Moments,Love On A Two Way Street,Male Group
26,Poppy Family,Which Way You Goin’ Billy?,Mixed Group
27,Free,All Right Now,Male Group
28,Jackson 5,I Want You Back,Male Group
29,Bobby Sherman,"Julie, Do Ya Love Me",Male
30,Sugarloaf,Green-eyed Lady,Male Group
31,Stevie Wonder,"Signed Sealed, Delivered (I’m Yours)",Male
32,Blues Image,Ride Captain Ride,Male Group
33,Shocking Blue,Venus,Mixed Group
34,John Ono Lennon,Instant Karma (We All Shine On),Male
35,Clarence Carter,Patches,Male
36,Creedence Clearwater Revival,Lookin’ Out My Back Door / Long As I Can See The Light,Male Group
37,Brook Benton,Rainy Night In Georgia,Male
38,Kenny Rogers and The First Edition,Something’s Burning,Mixed Group
39,Chairmen Of The Board,Give Me Just A Little More Time,Male Group
40,Edison Lighthouse,Love Grows (Where My Rosemary Goes),Male Group
41,Beatles,The Long And Winding Road / For You Blue,Male Group
42,Anne Murray,Snowbird,Female
43,Marmalade,Reflections Of My Life,Male Group
44,Eddie Holman,Hey There Lonely Girl,Male
45,Jaggerz,The Rapper,Male Group
46,Hollies,"He Ain’t Heavy, He’s My Brother",Male Group
47,Alive and Kicking,"Tighter, Tighter",Mixed Group
48,Badfinger,Come And Get It,Male Group
49,Simon and Garfunkel,Cecelia,Male Group
50,Charles Wright and The Watts 103rd Street Rhythm Band,Love Land,Male Group
51,Tyrone Davis,Turn Back The Hands Of Time,Male
52,Kinks,Lola,Male Group
53,Mungo Jerry,In The Summertime,Male Group
54,R. Dean Taylor,Indiana Wants Me,Male
55,Rare Earth,(I Know) I’m Losing You,Male Group
56,Bobby Sherman,"Easy Come, Easy Go",Male
57,Charles Wright and The Watts 103rd Street Rhythm Band,Express Yourself,Male Group
58,Four Tops,Still Water (Love),Male Group
59,Chicago,Make Me Smile,Male Group
60,Frijid Pink,House Of The Rising Sun,Male Group
61,Chicago,25 Or 6 To 4,Male Group
62,White Plains,My Baby Loves Lovin’,Male Group
63,Friends Of Distinction,Love Or Let Me Be Lonely,Mixed Group
64,Brotherhood Of Man,United We Stand,Mixed Group
65,Carpenters,We’ve Only Just Begun,Mixed Group
66,Mark Lindsay,Arizona,Male
67,James Taylor,Fire And Rain,Male
68,Gene Chandler,Groovy Situation,Male
69,Santana,Evil Ways,Male
70,Guess Who,No Time,Male Group
71,Delfonics,Didn’t I (Blow Your Mind This Time),Male Group
72,Elvis Presley,The Wonder Of You / Mama Liked The Roses,Male
73,Creedence Clearwater Revival,Up Around The Bend / Run Through The Jungle,Male Group
74,Ronnie Dyson,(If You Let Me Make Love To You Then) Why Can’t I Touch You,Male
75,B.J. Thomas,I Just Can’t Help Believing,Male
76,Spinners,It’s A Shame,Male Group
77,Bobbi Martin,For The Love Of Him,Female
78,Mountain,Mississippi Queen,Male Group
79,Ike and Tina Turner,I Want To Take You Higher,Mixed Group
80,Joe Cocker,The Letter,Male
81,Tee Set,Ma Belle Amie,Male Group
82,Originals,The Bells,Male Group
83,Christie,Yellow River,Male Group
84,100 Proof Aged In Soul,Somebody’s Been Sleeping,Mixed Group
85,Ides Of March,Vehicle,Male Group
86,Pipkins,Gimme Dat Ding,Male Group
87,Robin Mcnamara,Lay A Little Lovin’ On Me,Male
88,Supremes,Up The Ladder To The Roof,Female Group
89,Creedence Clearwater Revival,Travelin’ Band / Who’ll Stop The Rain,Male Group
90,Sandpipers,Come Saturday Morning,Male Group
91,Temptations,Psychedelic Shack,Male Group
92,Tom Jones,Without Love (There Is Nothing),Male
93,Pacific Gas and Electric,Are You Ready?,Male Group
94,"Crosby, Stills, Nash and Young",Woodstock,Male Group
95,Dionne Warwick,I’ll Never Fall In Love Again,Female
96,New Seekers,Look What They’ve Done To My Song Ma,Mixed Group
97,Joe South,Walk A Mile In My Shoes,Male
98,B.B. King,The Thrill Is Gone,Male
99,Glen Campbell,It’s Only Make Believe,Male
100,Aretha Franklin,Call Me,Female
