,Artist,Song,Gender
1,The Andrews Sisters,Rum & Coca-Cola,Female Group
2,Les Brown,Sentimental Journey,Male
3,Perry Como,Till The End of Time,Male
4,Les Brown,My Dreams Are Getting Better All the Time,Male
5,Johnny Mercer,"On the Atchison, Topeka & the Santa Fe",Male
6,Harry James,"It’s Been a Long, Long Time",Male
7,Bing Crosby,I Can’t Begin to Tell You,Male
8,Johnny Mercer,Ac-cent-tchu-ate the Positive,Male
9,Sammy Kaye,Chickery Chick,Male
10,Vaughn Monroe,There! I’ve Said it Again,Male
11,Johnny Mercer & Joe Stafford,Candy,Male Group
12,Duke Ellington,I’m Beginning to See The Light,Male
13,Judy Garland,"On the Atchison, Topeka & the Santa Fe",Female 
14,Ella Fitzgerald & The Ink Spots,I’m Beginning to See The Light,Mixed Group
15,Bing Crosby & Les Paul,"It’s Been a Long, Long Time",Male
16,Frank Sinatra,"Nancy, With The Laughing Face",Male
17,Louis Jordan,Caledonia,Male
18,Harry James,I’m Beginning to See The Light,Male
19,Bing Crosby & The Andrews Sisters,Ac-cent-tchu-ate the Positive,Mixed Group
20,The Pied Pipers,Dream,Mixed Group
21,Bing Crosby,"On the Atchison, Topeka & the Santa Fe",Male
22,Spike Jones,Cocktails For Two,Male
23,Billie Holiday,"Lover Man (Oh, Where Can You Be?)",Female
24,Bing Crosby,A Friend of Yours,Male
25,Frank Sinatra,A Friend of Yours,Male
26,Woody Herman,Laura,Male
27,Dick Haymes,It Might as Well Be Spring,Male
28,Helen Forrest & Dick Haymes,I’ll Buy That Dream,Mixed Group
29,Perry Como,If I Loved You,Male
30,Tommy Dorsey,Opus One,Male
31,Nelson Goncalves,Maria Bethania,Male
32,Bing Crosby,"Amor, Amor",Male
33,Louis Prima,Angelina,Male
34,Benny Goodman,Gotta Be This Or That,Male
35,Big Maceo Merriweather,Chicago Breakdown,Male
36,Frank Sinatra,Try a Little Tenderness,Male
37,Dick Haymes,Love Letters,Male
38,Dizzy Gillespie,Groovin’ High,Male
39,Perry Como,I’m Gonna Love That Gal,Male
40,Bing Crosby,You Belong To My Heart,Male
41,Frank Sinatra,Dream (When You’re Feeling Blue),Male
42,Louis Prima,Bell Bottom Trousers,Male
43,Dick Haymes,Laura,Male
44,Lucky Millinder,Who Threw the Whiskey in the Well,Male
45,Dorival Caymmi,Peguei Um Ita no Norte,Male
46,Stan Kenton,Tampico,Male
47,Frank Sinatra,Saturday Night (Is the Loneliest Night),Male
48,Russ Morgan,There Goes That Song Again,Male
49,Charlie Parker,Billie’s Bounce,Male
50,Dick Thomas,Sioux City Sue,Male
51,Frankie Carle,A Little On The Lonely Side,Male
52,Tex Ritter,You Two Timed Me Once Too Often,Male
53,Tex Ritter,You Will Have to Pay,Male
54,Jo Stafford,Symphony,Female
55,Tony Pastor & his Orchestra,Bell Bottom Trousers,Male
56,Peggy Lee,Waitin’ for the Train to Come In,Female
57,Joe Liggins,The Honeydripper (Parts 1 & 2),Male
58,Anjos do Inferno,Bolinha de Papel,Male Group
59,Jo Stafford,That’s for Me,Female
60,Frank Sinatra,I Dream of You,Male
61,The Mills Brothers,I Wish,Male Group
62,Dick Haymes,The More I See You,Male
63,Spike Jones,Holiday for strings,Male
64,Eddie Heywood,Begin the Beguine,Male
65,Bing Crosby & The Andrews Sisters,Along the Navajo Trail,Mixed Group
66,Coleman Hawkins,Rifftide,Male
67,Cyro Monteiro,Boogie-Woogie na Favela,Male
68,Frank Sinatra,You’ll Never Walk Alone,Male
69,Phil Moore Four,My Dreams Are Getting Better All the Time,Male Group
70,Guy Lombardo,Bell Bottom Trousers,Male
71,Dick Haymes,Till The End of Time,Male
72,Perry Como,Dig You Later (A-hubba Hubba Hubba),Male
73,Harry James,I’ll Buy That Dream,Male
74,Carmen Cavallaro,Chopin’s Polonaise,Male
75,Woody Herman,Caledonia,Male
76,Hal McIntyre & his Orchestra,Sentimental Journey,Male
77,Johnny Long,My Dreams Are Getting Better All the Time,Male
78,Betty Grable,I Can’t Begin to Tell You,Female
79,Gilberto Alves,Prece a Lua,Male
80,Dizzy Gillespie,Salt Peanuts,Male
