,Artist,Song,Gender
1,Wilson Phillips,Hold On,Female Group
2,Roxette,It Must Have Been Love,Female
3,Sinead O’Connor,Nothing Compares 2 U,Female
4,Bell Biv Devoe,Poison,Male Group
5,Madonna,Vogue,Female
6,Mariah Carey,Vision Of Love,Female
7,Phil Collins,Another Day In Paradise,Male
8,En Vogue,Hold On,Female Group
9,Billy Idol,Cradle Of Love,Male
10,Jon Bon Jovi,Blaze Of Glory,Male
11,Bell Biv Devoe,Do Me!,Male Group
12,Michael Bolton,How Am I Supposed To Live Without You,Male
13,Technotronic,Pump Up The Jam,Mixed Group
14,Paula Abdul,Opposites Attract,Female
15,Janet Jackson,Escapade,Female
16,Heart,All I Wanna Do Is Make Love To You,Female Group
17,Maxi Priest,Close To You,Male
18,Alannah Myles,Black Velvet,Female
19,Wilson Phillips,Release Me,Male
20,Linda Ronstadt and Aaron Neville,Don’t Know Much,Mixed Group
21,Lisa Stansfield,All Around The World,Female
22,Calloway,I Wanna Be Rich,Male Group
23,Johnny Gill,Rub You The Right Way,Male
24,Glenn Medeiros feat. Bobby Brown,She Ain’t Worth It,Male
25,Sweet Sensation,If Wishes Came True,Female Group
26,Snap,The Power,Mixed Group
27,Nelson,(Can’t Live Without Your) Love And Affection,Male Group
28,Taylor Dayne,Love Will Lead You Back,Female
29,Jane Child,Don’t Wanna Fall In Love,Female
30,Seduction,Two To Make It Right,Female Group
31,Linear,Sending All My Love,Male Group
32,Poison,Unskinny Bop,Male Group
33,New Kids On The Block,Step By Step,Male Group
34,Roxette,Dangerous,Female
35,Billy Joel,We Didn’t Start The Fire,Male
36,James Ingram,I Don’t Have The Heart,Male
37,Rod Stewart,Downtown Train,Male
38,Janet Jackson,Rhythm Nation,Female
39,Tommy Page,I’ll Be Your Everything,Male
40,B-52’s,Roam,Mixed Group
41,Jody Watley,Everything,Female
42,Soul II Soul,Back To Life,Mixed Group
43,Luther Vandross,Here And Now,Male
44,Janet Jackson,Alright,Female
45,Vanilla Ice,Ice Ice Baby,Male
46,Milli Vanilli,Blame It On The Rain,Male Group
47,M.C. Hammer,Have You Seen Her,Male
48,Taylor Dayne,With Every Beat Of My Heart,Female
49,Janet Jackson,Come Back To Me,Female
50,Michel’le,No More Lies,Female
51,George Michael,Praying For Time,Male
52,Michael Bolton,How Can We Be Lovers,Male
53,Phil Collins,Do You Remember,Male
54,After 7,Ready Or Not,Male Group
55,M.C. Hammer,U Can’t Touch This,Male
56,Phil Collins,I Wish It Would Rain Down,Male
57,Lou Gramm,Just Between You And Me,Male
58,Phil Collins,Something Happened On The Way To Heaven,Male
59,Janet Jackson,Black Cat,Female
60,After 7,Can’t Stop,Male Group
61,Aerosmith,Janie’s Got A Gun,Male Group
62,Digital Underground,The Humpty Dance,Male Group
63,Taylor Dayne,I’ll Be Your Shelter,Female
64,Tom Petty,Free Fallin’,Male
65,Pebbles,Giving You The Benefit,Female
66,Depeche Mode,Enjoy The Silence,Male Group
67,Tesla,Love Song,Male Group
68,Bad English,Price Of Love,Male Group
69,Tyler Collins,Girls Nite Out,Male
70,Go West,King Of Wishful Thinking,Male Group
71,Chicago,What Kind Of Man Would I Be?,Male Group
72,Skid Row,I Remember You,Male Group
73,Technotronic,Get Up! (Before The Night Is Over),Mixed Group
74,Gloria Estefan,Here We Are,Female
75,Faith No More,Epic,Male Group
76,Mariah Carey,Love Takes Time,Female
77,Cher,Just Like Jesse James,Female
78,B-52s,Love Shack,Mixed Group
79,Milli Vanilli,All Or Nothing,Male Group
80,Dino,Romeo,Male
81,Black Box,Everybody Everybody,Female
82,Billy Joel,I Go To Extremes,Male
83,Babyface,Whip Appeal,Male
84,Paul Young,Oh Girl,Male
85,D-Mob With Cathy Dennis,C’mon And Get My Love,Male
86,Paula Abdul,(It’s Just) The Way That You Love Me,Female
87,The Cover Girls,We Can’t Go Wrong,Female Group
88,Michael Bolton,When I’m Back On My Feet Again,Male
89,Keith Sweat,Make You Sweat,Male
90,New Kids On The Block,This One’s For The Children,Male Group
91,Aerosmith,What It Takes,Male Group
92,Kiss,Forever,Male Group
93,The Time,Jerk Out,Male Group
94,Biz Markie,Just A Friend,Male
95,A’me Lorain,Whole Wide World,Female
96,Motley Crue,Without You,Male Group
97,Jive Bunny and The Master Mixers,Swing The Mood,Male Group
98,Prince,Thieves In The Temple,Male
99,Mellow Man Ace,Mentirosa,Male
100,Kyper,Tic-Tac-Toe,Male
