,Artist,Song,Gender
1,Captain and Tennille,Love Will Keep Us Together,Mixed Group
2,Glen Campbell,Rhinestone Cowboy,Male
3,Elton John,Philadelphia Freedom,Male
4,Freddy Fender,Before The Next Teardrop Falls,Male
5,Frankie Valli,My Eyes Adored You,Male
6,"Earth, Wind and Fire",Shining Star,Male Group
7,David Bowie,Fame,Male
8,Neil Sedaka,Laughter In The Rain,Male
9,Eagles,One Of These Nights,Male Group
10,John Denver,Thank God I’m A Country Boy,Male
11,Bee Gees,Jive Talkin’,Male Group
12,Eagles,Best Of My Love,Male Group
13,Minnie Riperton,Lovin’ You,Female
14,Carl Douglas,Kung Fu Fighting,Male
15,Doobie Brothers,Black Water,Male Group
16,Sweet,Ballroom Blitz,Male Group
17,B.J. Thomas,(Hey Wont You Play) Another Somebody Done Somebody Wrong Song,Male
18,Tony Orlando and Dawn,He Don’t Love You (Like I Love You),Mixed Group
19,Janis Ian,At Seventeen,Female
20,Average White Band,Pick Up The Pieces,Male Group
21,Van McCoy and The Soul City Symphony,The Hustle,Male
22,Labelle,Lady Marmalade,Female Group
23,War,Why Can’t We Be Friends?,Male Group
24,Major Harris,Love Wont Let Me Wait,Male
25,Stevie Wonder,Boogie On Reggae Woman,Male
26,Freddy Fender,Wasted Days And Wasted Nights,Male
27,Isley Brothers,"Fight The Power, Pt. 1",Male Group
28,Helen Reddy,Angie Baby,Female
29,Ozark Mountain Daredevil,Jackie Blue,Male Group
30,Ohio Players,Fire,Mixed Group
31,Pilot,Magic,Male Group
32,Carpenters,Please Mr. Postman,Mixed Group
33,America,Sister Golden Hair,Male Group
34,Elton John,Lucy In The Sky With Diamonds,Male
35,Barry Manilow,Mandy,Male
36,Olivia Newton-John,Have You Never Been Mellow,Female
37,Barry Manilow,Could It Be Magic,Male
38,Harry Chapin,Cat’s In The Cradle,Male
39,Michael Murphy,Wildfire,Male
40,Jessi Colter,I’m Not Lisa,Female
41,Wings,Listen To What The Man Said,Male Group
42,10cc,I’m Not In Love,Male Group
43,Billy Swan,I Can Help,male
44,"Hamilton, Joe Frank and Reynolds",Fallin’ In Love,Male Group
45,Morris Albert,Feelings,Male
46,Sammy Johns,Chevy Van,Male
47,Linda Ronstadt,When Will I Be Loved,Female
48,Barry White,"You’re The First, The Last, My Everthing",Male
49,Olivia Newton-John,Please Mr Please,Female
50,Linda Ronstadt,You’re No Good,Female
51,Bazuka,Dynomite,Male Group
52,Blackbyrds,Walking In Rhythm,Male Group
53,Gladys Knight and The Pips,The Way We Were / Try To Remember,Female
54,Melissa Manchester,Midnight Blue,Female
55,Sugarloaf,"Don’t Call Us, We’ll Call You",Male Group
56,Phoebe Snow,Poetry Man,Female
57,Ace,How Long,Male Group
58,B.T. Express,Express,Male Group
59,"Earth, Wind and Fire",That’s The Way Of The World,Male Group
60,Styx,Lady,Male Group
61,Grand Funk,Bad Time,Male Group
62,Alice Cooper,Only Women Bleed,Female
63,Carol Douglas,Doctor’s Orders,Female
64,K.C. and The Sunshine Band,Get Down Tonight,Mixed Group
65,Joe Cocker,You Are So Beautiful / It’s A Sin When You Love Somebody,Male
66,Paul Anka and Odia Coates,One Man Woman-One Woman Man,Mixed Group
67,Bad Company,Feel Like Makin’ Love,Male Group
68,James Taylor,How Sweet It Is,Male
69,Orleans,Dance With Me,Male Group
70,Average White Band,Cut The Cake,Male Group
71,Gloria Gaynor,Never Can Say Goodbye,Female
72,Paul Anka,I Don’t Like To Sleep Alone,Male
73,Donny and Marie Osmond,Morning Side Of The Mountain,Mixed Group
74,Grand Funk,Some Kind Of Wonderful,Male Group
75,Three Degrees,When Will I See You Again,Female Group
76,Joe Simon,"Get Down, Get Down (Get On The Floor)",Male
77,John Denver,I’m Sorry / Calypso,Male
78,Queen,Killer Queen,Male Group
79,Eddie Kendricks,Shoeshine Boy,Male Group
80,B.T. Express,Do It (Til You’re Satisfied),Male Group
81,Electric Light Orchestra,Can’t Get It Out Of My Head,Male Group
82,Al Green,Sha-La-La (Make Me Happy),Male
83,America,Lonely People,Male Group
84,Rufus,You Got The Love,Male Group
85,Mike Post,The Rockford Files,Male
86,Tavares,It Only Takes A Minute,Male Group
87,Ringo Starr,No No Song / Snookeroo,Male
88,Paul McCartney and Wings,Junior’s Farm / Sally G,Male Group
89,Jethro Tull,Bungle In The Jungle,Male
90,Leo Sayer,Long Tall Glasses (I Can Dance),Male
91,Elton John,Someone Saved My Life Tonight,Male
92,Ray Stevens,Misty,Male
93,Neil Sedaka,Bad Blood,Male
94,Carpenters,Only Yesterday,Mixed Group
95,Dwight Twilley Band,I’m On Fire,Male Group
96,Ringo Starr,Only You,Male
97,Amazing Rhythm Aces,Third Rate Romance,Male Group
98,Bachman-Turner Overdrive,You Aint Seen Nothin’ Yet / Free Wheelin’,Male Group
99,Frankie Valli,Swearin’ To God,Male
100,Disco Tex and The Sex-O-lettes,Get Dancin’,Male Group
