Ranking,Title,Artist,Gender
1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Male
2,Thinking Out Loud,Ed Sheeran,Male
3,See You Again,Wiz Khalifa Featuring Charlie Puth,Male
4,Trap Queen,Fetty Wap,Male
5,Sugar,Maroon 5,Male group
6,Shut Up And Dance,WALK THE MOON,Male group
7,Blank Space,Taylor Swift,Female
8,Watch Me,Silento,Male
9,Earned It (Fifty Shades Of Grey),The Weeknd,Male
10,The Hills,The Weeknd,Male
11,Cheerleader,OMI,Male
12,Can't Feel My Face,The Weeknd,Male
13,Love Me Like You Do,Ellie Goulding,Female
14,Take Me To Church,Hozier,Male group
15,Bad Blood,Taylor Swift Featuring Kendrick Lamar,Female
16,Lean On,Major Lazer & DJ Snake Featuring MO,Mixed Group
17,Want To Want Me,Jason Derulo,Male
18,Shake It Off,Taylor Swift,Female
19,Where Are U Now,Skrillex & Diplo With Justin Bieber,Male
20,Fight Song,Rachel Platten,Female
21,679,Fetty Wap Featuring Remy Boyz,Male
22,Lips Are Movin,Meghan Trainor,Female
23,Worth It,Fifth Harmony Featuring Kid Ink,Mixed Group
24,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,Mixed Group
25,"Honey, I'm Good.",Andy Grammer,Male
26,I'm Not The Only One,Sam Smith,Male
27,Good For You,Selena Gomez Featuring A$AP Rocky,Mixed Group
28,All About That Bass,Meghan Trainor,Female
29,Style,Taylor Swift,Female
30,Hotline Bling,Drake,Male
31,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",Mixed Group
32,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,Male
33,What Do You Mean?,Justin Bieber,Male
34,Photograph,Ed Sheeran,Male
35,Hello,Adele,Female
36,Stitches,Shawn Mendes,Male
37,Talking Body,Tove Lo,Female
38,Jealous,Nick Jonas,Male
39,Time Of Our Lives,Pitbull & Ne-Yo,Male
40,Locked Away,R. City Featuring Adam Levine,Male
41,Somebody,Natalie La Rose Featuring Jeremih,Mixed Group
42,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,Mixed Group
43,Centuries,Fall Out Boy,Male group
44,My Way,Fetty Wap Featuring Monty,Male
45,Take Your Time,Sam Hunt,Male
46,Animals,Maroon 5,Male
47,I Don't F**k With You,Big Sean Featuring E-40,Male
48,B**** Better Have My Money,Rihanna,Female
49,Flex (Ooh Ooh Ooh),Rich Homie Quan,Male
50,Nasty Freestyle,T-Wayne,Male
51,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",Mixed Group
52,Elastic Heart,Sia,Female
53,Cool For The Summer,Demi Lovato,Female
54,Renegades,X Ambassadors,Male group
55,I Don't Mind,Usher Featuring Juicy J,Female group
56,Love Me Harder,Ariana Grande & The Weeknd,Mixed Group
57,Wildest Dreams,Taylor Swift,Female
58,Stay With Me,Sam Smith,Male
59,You Know You Like It,DJ Snake & AlunaGeorge,Mixed Group
60,Uma Thurman,Fall Out Boy,Male
61,11-Jul,Beyonce,Female
62,The Heart Wants What It Wants,Selena Gomez,Female
63,Girl Crush,Little Big Town,Male group
64,Slow Motion,Trey Songz,Male
65,Drag Me Down,One Direction,Male group
66,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,Mixed Group
67,One Last Time,Ariana Grande,Female
68,Chains,Nick Jonas,Male
69,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,Mixed Group
70,No Type,Rae Sremmurd,Male group
71,Riptide,Vance Joy,Male
72,Classic Man,Jidenna Featuring Roman GianArthur,Male
73,Ex's & Oh's,Elle King,Female
74,Dear Future Husband,Meghan Trainor,Female
75,Marvin Gaye,Charlie Puth Featuring Meghan Trainor,Male
76,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,Mixed Group
77,Habits (Stay High),Tove Lo,Female
78,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,Mixed Group
79,CoCo,O.T. Genasis,Male
80,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",Female
81,Lay Me Down,Sam Smith,Male
82,Tuesday,I LOVE MAKONNEN Featuring Drake,Male
83,Hit The Quan,iLoveMemphis,Male
84,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",Mixed Group
85,House Party,Sam Hunt,Male
86,Ayo,Chris Brown & Tyga,Male
87,Kick The Dust Up,Luke Bryan,Male
88,Blessings,Big Sean Featuring Drake,Male
89,Budapest,George Ezra,Male
90,Chandelier,Sia,Female
91,Heartbeat Song,Kelly Clarkson,Female
92,Don't,Ed Sheeran,Male
93,Ghost,Ella Henderson,Female
94,Here,Alessia Cara,Female
95,Waves,Mr. Probz,Male
96,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,Male
97,She Knows,Ne-Yo Featuring Juicy J,Mixed Group
98,Night Changes,One Direction,Male Group
99,Back To Back,Drake,Male
100,How Deep Is Your Love,Calvin Harris & Disciples,Male
