,0,1,2
0,1,Percy Faith,Theme From “A Summer Place”
1,2,Jim Reeves,He’ll Have To Go
2,3,Everly Brothers,Cathy’s Clown
3,4,Johnny Preston,Running Bear
4,5,Mark Dinning,Teen Angel
5,6,Brenda Lee,I’m Sorry
6,7,Elvis Presley,It’s Now Or Never
7,8,Jimmy Jones,Handy Man
8,9,Elvis Presley,Stuck On You
9,10,Chubby Checker,The Twist
10,11,Connie Francis,Everybody’s Somebody’s Fool
11,12,Bobby Rydell,Wild One
12,13,Brothers Four,Greenfields
13,14,Jack Scott,What In The World’s Come Over You
14,15,Marty Robbins,El Paso
15,16,Hollywood Argyles,Alley-oop
16,17,Connie Francis,My Heart Has A Mind Of Its Own
17,18,Brenda Lee,Sweet Nothin’s
18,19,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini
19,20,Roy Orbison,Only The Lonely
20,21,Dion and The Belmonts,Where Or When
21,22,Connie Stevens,Sixteen Reasons
22,23,Paul Anka,Puppy Love
23,24,Frankie Avalon,Why
24,25,Ventures,"Walk, Dont Run"
25,26,Drifters,Save The Last Dance For Me
26,27,Brook Benton and Dinah Washington,Baby (You Got What It Takes)
27,28,Johnny Horton,Sink The Bismark
28,29,Sam Cooke,Chain Gang
29,30,Everly Brothers,Let It Be Me
30,31,Jimmy Jones,Good Timin’
31,32,Bobby Darin,Beyond The Sea
32,33,Jimmy Clanton,Go Jimmy Go
33,34,Jackie Wilson,Night
34,35,Jack Scott,Burning Bridges
35,36,Toni Fisher,The Big Hurt
36,37,Duane Eddy,Because They’re Young
37,38,Conway Twitty,Lonely Blue Boy
38,39,Steve Lawrence,Pretty Blue Eyes
39,40,Freddie Cannon,Way Down Yonder In New Orleans
40,41,Anita Bryant,Paper Roses
41,42,Larry Verne,Mr. Custer
42,43,Brenda Lee,I Want To Be Wanted
43,44,Fendermen,Mule Skinner Blues
44,45,Johnny Preston,Cradle Of Love
45,46,Marv Johnson,You’ve Got What It Takes
46,47,Hank Locklin,"Please Help Me, I’m Falling"
47,48,Ron Holden,Love You So
48,49,Hank Ballard and The Midnighters,Finger Poppin’ Time
49,50,Platters,Harbor Lights
50,51,Billy Bland,Let The Little Girl Dance
51,52,Jeanne Black,He’ll Have To Stay
52,53,Ferrante and Teicher,Theme From The Apartment
53,54,Bobby Rydell,Volare (Nel Blu Dipinto Di Blu)
54,55,Jimmy Charles,A Million To One
55,56,Andy Williams,The Village Of St. Bernadette
56,57,The Browns,The Old Lamplighter
57,58,Bill Black’s Combo,White Silver Sands
58,59,Bobby Vee,Devil Or Angel
59,60,Four Preps,Down By The Station
60,61,Little Dippers,Forever
61,62,Safaris and The Phantom’s Band,Image Of A Girl
62,63,Brook Benton,Kiddio
63,64,Donnie Brooks,Mission Bell
64,65,Marv Johnson,I Love The Way You Love
65,66,Paul Anka,It’s Time To Cry
66,67,Ray Peterson,Tell Laura I Love Her
67,68,Connie Francis,Mama
68,69,Steve Lawrence,Footsteps
69,70,Everly Brothers,So Sad
70,71,Brenda Lee,That’s All You Gotta Do
71,72,Fats Domino,Walking To New Orleans
72,73,Connie Francis,Among My Souvenirs
73,74,Bobby Rydell,Swingin’ School
74,75,Dinah Washington and Brook Benton,A Rockin’ Good Way
75,76,Neil Sedaka,Stairway To Heaven
76,77,Paul Anka,My Home Town
77,78,Ray Charles,Georgia On My Mind
78,79,Skip and Flip,Cherry Pie
79,80,Sam Cooke,Wonderful World
80,81,Spencer Ross,Tracy’s Theme
81,82,Lloyd Price,Lady Luck
82,83,Crests,Step By Step
83,84,Paul Evans,Happy-Go-Lucky Me
84,85,Ricky Nelson,Young Emotions
85,86,Johnny Burnette,Dreamin’
86,87,Johnny Tillotson,Poetry In Motion
87,88,Annette,O Dio Mio
88,89,Joe Jones,You Talk Too Much
89,90,Johnny and The Hurricanes,Beatnik Fly
90,91,Everly Brothers,When Will I Be Loved
91,92,Bob Luman,Let’s Think About Livin’
92,93,Guy Mitchell,Heartaches By The Number
93,94,Anita Bryant,In My Little Corner Of The World
94,95,Jackie Wilson,Doggin’ Around
95,96,Bobby Rydell,Little Bitty Girl
96,97,Barret Strong,Money
97,98,Maurice Williams,Stay
98,99,Charlie Rich,Lonely Weekends
99,100,Larry Hall,Sandy
