,0,1,2
0,1,The Andrews Sisters,Rum & Coca-Cola
1,2,Les Brown,Sentimental Journey
2,3,Perry Como,Till The End of Time
3,4,Les Brown,My Dreams Are Getting Better All the Time
4,5,Johnny Mercer,"On the Atchison, Topeka & the Santa Fe"
5,6,Harry James,"It’s Been a Long, Long Time"
6,7,Bing Crosby,I Can’t Begin to Tell You
7,8,Johnny Mercer,Ac-cent-tchu-ate the Positive
8,9,Sammy Kaye,Chickery Chick
9,10,Vaughn Monroe,There! I’ve Said it Again
10,11,Johnny Mercer & Joe Stafford,Candy
11,12,Duke Ellington,I’m Beginning to See The Light
12,13,Judy Garland,"On the Atchison, Topeka & the Santa Fe"
13,14,Ella Fitzgerald & The Ink Spots,I’m Beginning to See The Light
14,15,Bing Crosby & Les Paul,"It’s Been a Long, Long Time"
15,16,Frank Sinatra,"Nancy, With The Laughing Face"
16,17,Louis Jordan,Caledonia
17,18,Harry James,I’m Beginning to See The Light
18,19,Bing Crosby & The Andrews Sisters,Ac-cent-tchu-ate the Positive
19,20,The Pied Pipers,Dream
20,21,Bing Crosby,"On the Atchison, Topeka & the Santa Fe"
21,22,Spike Jones,Cocktails For Two
22,23,Billie Holiday,"Lover Man (Oh, Where Can You Be?)"
23,24,Bing Crosby,A Friend of Yours
24,25,Frank Sinatra,A Friend of Yours
25,26,Woody Herman,Laura
26,27,Dick Haymes,It Might as Well Be Spring
27,28,Helen Forrest & Dick Haymes,I’ll Buy That Dream
28,29,Perry Como,If I Loved You
29,30,Tommy Dorsey,Opus One
30,31,Nelson Goncalves,Maria Bethania
31,32,Bing Crosby,"Amor, Amor"
32,33,Louis Prima,Angelina
33,34,Benny Goodman,Gotta Be This Or That
34,35,Big Maceo Merriweather,Chicago Breakdown
35,36,Frank Sinatra,Try a Little Tenderness
36,37,Dick Haymes,Love Letters
37,38,Dizzy Gillespie,Groovin’ High
38,39,Perry Como,I’m Gonna Love That Gal
39,40,Bing Crosby,You Belong To My Heart
40,41,Frank Sinatra,Dream (When You’re Feeling Blue)
41,42,Louis Prima,Bell Bottom Trousers
42,43,Dick Haymes,Laura
43,44,Lucky Millinder,Who Threw the Whiskey in the Well
44,45,Dorival Caymmi,Peguei Um Ita no Norte
45,46,Stan Kenton,Tampico
46,47,Frank Sinatra,Saturday Night (Is the Loneliest Night)
47,48,Russ Morgan,There Goes That Song Again
48,49,Charlie Parker,Billie’s Bounce
49,50,Dick Thomas,Sioux City Sue
50,51,Frankie Carle,A Little On The Lonely Side
51,52,Tex Ritter,You Two Timed Me Once Too Often
52,53,Tex Ritter,You Will Have to Pay
53,54,Jo Stafford,Symphony
54,55,Tony Pastor & his Orchestra,Bell Bottom Trousers
55,56,Peggy Lee,Waitin’ for the Train to Come In
56,57,Joe Liggins,The Honeydripper (Parts 1 & 2)
57,58,Anjos do Inferno,Bolinha de Papel
58,59,Jo Stafford,That’s for Me
59,60,Frank Sinatra,I Dream of You
60,61,The Mills Brothers,I Wish
61,62,Dick Haymes,The More I See You
62,63,Spike Jones,Holiday for strings
63,64,Eddie Heywood,Begin the Beguine
64,65,Bing Crosby & The Andrews Sisters,Along the Navajo Trail
65,66,Coleman Hawkins,Rifftide
66,67,Cyro Monteiro,Boogie-Woogie na Favela
67,68,Frank Sinatra,You’ll Never Walk Alone
68,69,Phil Moore Four,My Dreams Are Getting Better All the Time
69,70,Guy Lombardo,Bell Bottom Trousers
70,71,Dick Haymes,Till The End of Time
71,72,Perry Como,Dig You Later (A-hubba Hubba Hubba)
72,73,Harry James,I’ll Buy That Dream
73,74,Carmen Cavallaro,Chopin’s Polonaise
74,75,Woody Herman,Caledonia
75,76,Hal McIntyre & his Orchestra,Sentimental Journey
76,77,Johnny Long,My Dreams Are Getting Better All the Time
77,78,Betty Grable,I Can’t Begin to Tell You
78,79,Gilberto Alves,Prece a Lua
79,80,Dizzy Gillespie,Salt Peanuts
