,0,1,2
0,1,Gordon Jenkins and The Weavers,Goodnight Irene
1,2,Nat King Cole,Mona Lisa
2,3,Anton Karas,Third Man Theme
3,4,Gary and Bing Crosby,Sam’s Song
4,5,Gary and Bing Crosby,Simple Melody
5,6,Teresa Brewer,"Music, Music, Music"
6,7,Guy Lombardo,Third Man Theme
7,8,Red Foley,Chattanoogie Shoe Shine Boy
8,9,Sammy Kaye,Harbor Lights
9,10,Sammy Kaye and Don Cornell,It Isn’t Fair
10,11,Eileen Barton,If I Knew You Were Coming I’d’ve Baked A Cake
11,12,Kay Starr,Bonaparte’s Retreat
12,13,Gordon Jenkins and The Weavers,"Tzena, Tzena, Tzena"
13,14,Tony Martin,There’s No Tomorrow
14,15,Phil Harris,The Thing
15,16,Ames Brothers,Sentimental Me
16,17,Andrews Sisters and Gordon Jenkins,I Wanna Be Loved
17,18,Patti Page,Tennessee Waltz
18,19,Andrews Sisters and Gordon Jenkins,"I Can Dream, Can’t I"
19,20,Tennessee Ernie Ford and Kay Starr,I’ll Never Be Free
20,21,Patti Page,All My Love
21,22,Gordon Jenkins,My Foolish Heart
22,23,Ames Brothers,Rag Mop
23,24,Bill Snyder,Bewitched
24,25,Perry Como,Hoop-Dee-Doo
25,26,Gordon Jenkins,Bewitched
26,27,Ames Brothers,Can Anyone Explain?
27,28,Billy Eckstine,My Foolish Heart
28,29,Bing Crosby,Dear Hearts And Gentle People
29,30,Frankie Laine,Cry Of The Wild Goose
