,0,1,2
0,1,Glenn Miller,Chattanooga Choo Choo
1,2,Sammy Kaye,Daddy
2,3,Artie Shaw,Stardust
3,4,The Andrews Sisters,Boogie Woogie Bugle Boy
4,5,Jimmy Dorsey,Amapola (Pretty Little Poppy)
5,6,Jimmy Dorsey,Green Eyes
6,7,Glenn Miller,Elmer’s Tune
7,8,Duke Ellington,Take The ‘A’ Train
8,9,Billie Holiday,God Bless the Child
9,10,Jimmy Dorsey,Maria Elena
10,11,Horace Heidt,I Don’t Want to Set the World On Fire
11,12,Freddy Martin,Piano Concerto in B Flat
12,13,The Ink Spots,I Don’t Want to Set the World On Fire
13,14,Jimmy Dorsey,Blue Champagne
14,15,Glenn Miller,Song of the Volga Boatmen
15,16,Jimmy Dorsey,My Sister & I
16,17,Harry James,You Made Me Love You
17,18,Tommy Dorsey & Frank Sinatra,Dolores
18,19,Glenn Miller,You & I
19,20,Benny Goodman,There’ll Be Some Changes Made
20,21,The Sons of the Pioneers,Cool Water
21,22,Xavier Cugat,Perfidia (Tonight)
22,23,Jimmy Dorsey,I Hear A Rhapsody
23,24,Guy Lombardo,And the Band Played On
24,25,Vera Lynn,A Nightingale Sang in Berkeley Square
25,26,Dick Robertson,Ferryboat Serenade
26,27,The Jesters,It’s a Great Day for the Irish
27,28,The Tic-Toc Rhythm Orchestra,Ferryboat Serenade
28,29,Judy Garland,It’s a Great Day for the Irish
29,30,Francisco Alves,Canta Brasil
30,31,George Formby,Bless ’em All (The Service Song)
31,32,Al Bowlly,When That Man is Dead & Gone
32,33,Ernest Tubb,Walking the Floor Over You
33,34,Glenn Miller,Anvil Chorus
34,35,Glenn Miller,I Dreamt I Dwelt In Harlem
35,36,The Andrews Sisters,I’ll Be With You in Apple Blossom Time
36,37,Charlie Barnet,I Hear A Rhapsody
37,38,Bing Crosby,Dolores
38,39,Artie Shaw,Dancing in the Dark
39,40,Artie Shaw,Summit Ridge Drive
40,41,Wayne King,You Are My Sunshine
41,42,Tommy Dorsey & Frank Sinatra,This Love of Mine
42,43,Jimmy Dorsey,High On A Windy Hill
43,44,Joe Loss Orchestra,‘V’ Stands For Victory
44,45,Carlos Galhardo,Ala Li La
45,46,Tommy Dorsey,Yes Indeed
46,47,Big Maceo Merriweather,Worried Life Blues
47,48,Gene Krupa,High On A Windy Hill
48,49,Jimmy Dorsey,Yours
49,50,Wayne King,Maria Elena
50,51,Horace Heidt,G’bye Now
51,52,Freddy Martin,The Hut Sut Song (A Swedish Serenade)
52,53,Tommy Dorsey & Frank Sinatra,Oh Look At Me Now
53,54,Gene Krupa,It All Comes Back To Me Now
54,55,Bing Crosby,Shepherd’s Serenade
55,56,Tommy Dorsey,Let’s Get Away From It All
56,57,Gene Krupa,Let me off uptown
57,58,Washboard Sam,She Belongs to The Devil
58,59,Dorival Caymmi,O Mar
59,60,Glenn Miller,Adios
60,61,Tommy Dorsey & Frank Sinatra,Two in Love
61,62,Jimmy Dorsey,Jim
62,63,Harry James,By the Sleepy Lagoon
63,64,Ray Noble,By the Light of the Silvery Moon
64,65,Horace Heidt,The Hut Sut Song (A Swedish Serenade)
65,66,Kay Kyser,"Alexander the Swoose (Half Swan, Half Goose)"
66,67,Xavier Cugat,Green Eyes
67,68,Xavier Cugat,"Chica, Chica, Boom, Chic"
68,69,Joel & Gaucho,Aurora
69,70,Jay McShann,Vine Street Blues
70,71,Glenn Miller,I Know Why
71,72,Tommy Dorsey,Do I Worry?
72,73,The Andrews Sisters,Bounce Me Brother
73,74,Harry James,You Made Me Love You (I Didn’t Want to Do It)
74,75,Pedro Vargas,Besame Mucho
75,76,Kay Kyser,(Lights Out) Til Reveille
76,77,Tony Martin,The Last Time I Saw Paris
77,78,Tommy Tucker,I Don’t Want to Set the World On Fire
78,79,Guy Lombardo,Intermezzo (Souvenir De Vienne)
79,80,Anjos do Inferno,Voce Ja Foi a Bahia?
